Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Citrus T08,7.58,"Yuzu est une jeune fashionista énergique et enthousiaste qui compte continuer à vivre pleinement sa vie de lycéenne. Seule ombre au tableau, elle n&#39est encore jamais tombée amoureuse. À cause du remariage de ses parents, elle se voit obligée d&#39intégrer un lycée très strict pour jeunes filles. Comment va-t-elle trouver un copain maintenant ? Alors qu&#39elle entame son premier jour de cours, pleine de frustration, elle fait la connaissance de Mei qui n&#39est autre que la présidente du conseil des élèves. Après s&#39être disputé avec cette dernière, elle la surprend en train d&#39embrasser un professeur. Une surprise qui ne sera pas la dernière de cette terrible journée... car en rentrant, elle apprend que Mei est... sa nouvelle soeur !",978-2375061176,https://m.media-amazon.com/images/I/71HR3ofeOEL._SY522_.jpg,TAIFU COMICS; Illustrated édition (21 février 2019),SABUROUTA,Yuri
Citrus T10,9.29,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle à se faire à sa nouvelle vie ? Arrivera-t-elle à s&#39entendre avec sa demi-soeur ?",978-2375061541,https://m.media-amazon.com/images/I/71pK19NSVeL._SY522_.jpg,TAIFU COMICS; Illustrated édition (22 novembre 2019),SABUROUTA,Yuri
Citrus T09,8.58,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l amour et va jusqu à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle à se faire à sa nouvelle vie ? Arrivera-t-elle à s entendre avec sa demi-soeur ?",978-2375061268,https://m.media-amazon.com/images/I/71cX-Jf4-eL._SY522_.jpg,TAIFU COMICS; Illustrated édition (23 mai 2019),SABUROUTA,Yuri
Notre été éphémère - Tome 1,10.45,"Un récit doux et tragique entre deux jeunes filles, le temps d’un été…

Shizuku Hoshikawa, une jeune lycéenne asociale, termine enfin de rédiger dans le plus grand secret un roman tragique. S’apprêtant à se débarrasser de ses écrits sans avoir laissé quiconque les lire, elle croise Kaori Asaka, une de ses camarades de classe, qui s’empare de son oeuvre et file sans demander son reste.

Shizuku s’attend à ne recevoir que du mépris de la part de Kaori, mais à sa grande surprise, celle-ci lui fait un retour des plus inattendus.",978-2385034160,https://m.media-amazon.com/images/I/81T+j-T33hL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (30 novembre 2023),Yuama,Yuri
Notre été éphémère - Tome 04,14.02,"Kaori s&#39est effondrée sous les yeux de Shizuku,
alors que celle-ci venait enfin de faire face à Ruri.

Inquiète pour Kaori, Shizuku se rend à l&#39hôpital pour
la voir et découvre la maladie qu&#39elle lui cachait.

Kaori, alitée, essaie de rassurer tant bien que mal son amie, avant de suggérer de mettre fin à leur romance factice.",978-2385034191,https://m.media-amazon.com/images/I/71HwgSX5WwL._SY522_.jpg,Meian; Yuri édition (22 février 2024),Yuama,Yuri
Entre Soies T05,8.35,,978-2375064177,https://m.media-amazon.com/images/I/713wyvlyryL._SY522_.jpg,TAIFU COMICS; Illustrated édition (31 mai 2024),Yuriko HARA,Yuri
Notre été éphémère - Tome 03,12.84,"Shizuku se prépare à faire face à Kaori. Les mots sincères de celle-ci la touchent en plein coeur, et Shizuku accepte de redonner une chance à leur relation estivale éphémère.

Mais alors que les doutes de Shizuku semblent commencer à se dissiper, il semble que Kaori cache quelque chose...",978-2385034184,https://m.media-amazon.com/images/I/712hGfm-o0L._SY522_.jpg,Meian; Yuri édition (22 février 2024),Yuama,Yuri
Anémone flamboyante - Tome 3,6.95,"Place au grand amour...
Exprimer son amour ou le garder secret ?

Nagisa est parvenue à dire “je t&#39aime” à Mashiro. Sa haine s&#39est transformée en amour. Toutefois, il s&#39agit là d&#39un sentiment complexe et Nagisa a encore beaucoup à apprendre…

Un yuri profond, dans lequel certaines expriment leur amour tandis que d&#39autres cherchent à le garder secret.",978-2385031237,https://m.media-amazon.com/images/I/81hKtvIXq2L._SY522_.jpg,Meian; Meian (Collection yuri) édition (21 février 2024),Ren Sakuragi,Yuri
Citrus + T02,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Découvrez ce qui se passe à la fin du tome 10 de Citrus, et tout ce qui a mené Yuzu et Mei à la conclusion attendue de leur relation !",978-2375062494,https://m.media-amazon.com/images/I/71UEBAtgLuL._SY522_.jpg,TAIFU COMICS; Illustrated édition (27 août 2021),SABUROUTA,Yuri
Citrus + T01,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Découvrez ce qui se passe à la fin du tome 10 de Citrus, et tout ce qui a mené Yuzu et Mei à la conclusion attendue de leur relation !",978-2375061725,https://m.media-amazon.com/images/I/71AxYZ3SsrL._SY522_.jpg,TAIFU COMICS; Illustrated édition (22 novembre 2019),SABUROUTA,Yuri
