Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
La Chaîne: Dans les secrets de la télévision... (Roman),12.0,"Dans les sombres coulisses de la télévision française…
JR, un journaliste ambitieux, se voit proposer la création d’une émission culturelle sur une grande chaîne commerciale et populaire.
Concilier culture et rentabilité ? Mission impossible ?
À travers une satire du monde de l’audiovisuel, de la télé-poubelle, du parisianisme et du snobisme intellectuel, La Chaîne retrace l’ascension, le succès et la chute brutale d’un jeune idéaliste, aveuglé par sa naïveté, dans un monde d’illusions broyées sur l’autel du dieu-argent et de la déesse audimat…
Un roman coup de poing qui vous fera voir le monde de la télé d’un autre oeil !",979-8875537578,https://m.media-amazon.com/images/I/61vn7-oLxkL._SY522_.jpg,Independently published (16 janvier 2024),Aude Himath
La Chaîne: Dans les secrets de la télévision... (Roman),12.0,"Dans les sombres coulisses de la télévision française…
JR, un journaliste ambitieux, se voit proposer la création d’une émission culturelle sur une grande chaîne commerciale et populaire.
Concilier culture et rentabilité ? Mission impossible ?
À travers une satire du monde de l’audiovisuel, de la télé-poubelle, du parisianisme et du snobisme intellectuel, La Chaîne retrace l’ascension, le succès et la chute brutale d’un jeune idéaliste, aveuglé par sa naïveté, dans un monde d’illusions broyées sur l’autel du dieu-argent et de la déesse audimat…
Un roman coup de poing qui vous fera voir le monde de la télé d’un autre oeil !",979-8875537578,https://m.media-amazon.com/images/I/61vn7-oLxkL._SY522_.jpg,Independently published (16 janvier 2024),Aude Himath
La femme invisible,16.0,"« J’ai chaud. Les dîners finissent plus tôt. Je bois moins. Je vieillis.
Ça peut couper les jambes, mais ça peut aussi porter, soulever, se faire s’envoler, exacerber l’envie et le goût pour les autres, l’enthousiasme, les tentatives, les échecs sans regrets et les petites réussites. Plus « rien à perdre », comme si cela avait été le cas un jour.
J’ai ressenti la cinquantaine comme une crise d’adolescence équipée d’un cerveau. Une libération. Une jubilation ! »
Finis les discours imposés ou les a priori, terminés les regards qui assignent encore et toujours : Maïtena Biraben nous livre son récit, brut, vrai et d’une sincérité désarmante. L’enfance entre quatre frères, les combats d’une jeune maman célibataire, l’amour, le sexe, le travail, le reflet dans le miroir, l’ovale du visage qui change et le premier tatouage. Elle renverse les poncifs et les croyances, part en guerre contre les images, celles de la fille, la sœur, la mère et l’épouse, de l’argent et du succès, qui inhibent et dissimulent, avec une joie féroce et beaucoup d’humour.
Une leçon de vie pour toutes les générations de femmes qui, passé 50 ans, se questionnent sur leur place.",978-2246817314,https://m.media-amazon.com/images/I/71wgocd59ZL._SY522_.jpg,Grasset (2 mai 2024),Maïtena Biraben
"The Vampire Diaries, tous les secrets de Mystic Falls / Nouvelle édition (broché)",24.95,"Depuis son lancement en 2009, The Vampire Diaries a mordu des millions de fans dans le monde entier. Subtil mélange de suspense, d'action et de romance, cette série a fait frissonner et haleter huit (incroyables) saisons durant. Interviews des acteurs, révélations de l'équipe, photographies de plateau et documents inédits retracent pour la première fois le journal de cette saga fantastique. Tous les secrets de Mystic Falls se dévoilent dans ce livre officiel, offrant l'éternité à cette série devenue culte. Préface de Ian Somerhalder et introduction de Paul Wesley.",978-2364809970,https://m.media-amazon.com/images/I/81WbDUufdCL._SY522_.jpg,HUGINN MUNINN (14 juin 2024),Huginn & Muninn
La vie m'a réservé bien des surprises: Faire des épreuves de la vie une force pour avancer sereinement !,18.0,"Véronika Loubry a affronté avec courage les changements et les épreuves, de l’arrêt de sa carrière d’animatrice pour se consacrer à ses enfants à la terrible nouvelle du cancer de son compagnon. Dans son livre, elle revisite les moments marquants de sa vie et se livre comme jamais auparavant.
À 55 ans, cette animatrice vedette s’est adaptée à son époque et a complètement réinventé sa vie. Suivie par des milliers d’abonnés sur ses réseaux sociaux, qu’elle considère comme ses « Instaamies », elle partage les clés de son bonheur et encourage chacun à accepter les surprises de la vie.
À travers des souvenirs et des anecdotes, elle dévoile sa philosophie qui lui permet d’avancer avec sérénité face aux défis de la vie.",979-1028530839,https://m.media-amazon.com/images/I/71Qz8Mh3WML._SY522_.jpg,LEDUC; 1er édition (26 mars 2024),Véronika Loubry
Dans l'oreille du cyclone,16.0,"C’est l’histoire d’une blague qui commence sur France Inter et finit à la police judiciaire, en passant par CNews et l’Assemblée nationale.
C'est l'histoire d’un clown pris dans la tourmente d’une polémique sans fin, entre insultes, menaces et pressions absurdes.
C’est l’histoire du lien entre notre époque et la pratique humoristique, à mi-chemin entre rire et sport de combat.
Dans ce journal de bord d’une tempête médiatique, Guillaume Meurice raconte comment les polémiques se fabriquent et se défont. Un texte, drôle et inquiétant, sur l’humour politique.
Guillaume Meurice est humoriste.",978-2021567823,https://m.media-amazon.com/images/I/715qxWo6NhL._SY522_.jpg,SEUIL (15 mars 2024),Guillaume Meurice
Bienvenue à L'Agence,24.5,"« De Majo, l’oeil de lynx malicieux de la famille, Olivier le père visionnaire, Sandrine la mère protectrice du clan, aux quatre frères – Martin l’aîné fonceur, Valentin à la pointe des tendances, Louis à la conquête de l’Espagne, et Raphaël à la relève – chacun se reconnaîtra dans les liens et la force des émotions qui nous unissent.

Au-delà de nos succès dans le monde incroyable de l’immobilier de luxe, nous avons accepté de raconter pour la première fois ce que l’on ne voit pas dans la série. Nous nous livrons sans caméra, avec spontanéité, sur notre vie de famille, nos débuts mouvementés, et révélons nos anecdotes jamais partagées à l’Agence.

Vous découvrirez notre histoire et la manière avec laquelle nous parvenons à vivre, travailler et réussir en famille : gérer la pression et les conflits, surmonter les épreuves de la vie, mais surtout croire en l’avenir, cultiver son émerveillement et ne jamais avoir de regrets.

La famille Kretz n’a pas fini de vous surprendre ! »",978-2213727103,https://m.media-amazon.com/images/I/812qF0PA8rL._SY522_.jpg,Fayard; Illustrated édition (27 mars 2024),Famille Kretz
Jennifer Aniston: L'impossible bonheur,24.95,"Découvrez la fascinante histoire de l'une des actrices les plus emblématiques de notre époque. Plongez dans la vie d'une célébrité hors du commun : son parcours, ses succès et ses épreuves.

Cette biographie captivante retrace l'incroyable ascension de Jennifer Aniston, une « girl next door » californienne, enfant de la balle qui rêvait de faire mieux que ses parents. Légendaire Rachel de la série Friends, mariée un temps au sex-symbol de l'Amérique, Jennifer Aniston a gagné son statut d'icône et son étoile sur Hollywood boulevard.

Mais plus que l'actrice, c'est la femme qui mérite d'être connue. Son rêve de maternité brisé, son mariage ultra-compliqué avec Brad Pitt et les véritables raisons de leur rupture, ses relations jamais apaisées avec sa mère, sont autant d'épreuves qu'elle a su surmonter. Aux prises avec les démons de son ami Matthew Perry - c'est elle qui, la première, a deviné ses addictions - elle reste aujourd'hui le pilier de la famille de",978-2017234418,https://m.media-amazon.com/images/I/81DDkRmZFLL._SY522_.jpg,Hachette Pratique (15 mai 2024),Anaïs Maquiné Denecker
Au bout de l'enquête - Les plus grandes affaires criminelles passées au crible: Les plus grandes affaires criminelles passées au crible,19.95,"Le livre adapté de l'émission à succès de France 2 ""Au bout de l'enquête"", présentée par Marie Drucker et Alain Bauer, qui analyse des cold case.
Pourquoi Sylvain Alloard, militaire respecté de tous, a-t-il été abattu froidement sur un parking à Marseille ?
Qui a tué Sylvie Bâton, jeune étudiante brillante, dans son petit village tranquille de Bourgogne ?
Comment le meurtrier de Caroline Dickinson a-t-il pu s'introduire dans la chambre de son auberge de jeunesse alors que quatre camarades dormaient avec elle ?

Au bout de l'enquête revient sur vingt cold case ou affaires criminelles qui ont bouleversé l'opinion. Quelles que soient leurs issues, elles ont suscité des années d'enquête, de rebondissements, d'espoir et de déception pour les familles des victimes et pour les enquêteurs. De la découverte du crime à sa résolution, ce livre nous en fait le récit et apporte pour chaque affaire un éclairage criminologique inédit présenté par Alain Bauer.

Plus que de simples faits divers, ces histoires racontent une époque, une région, un contexte historique et social, et retracent l'évolution des méthodes d'enquête des services de police et de gendarmerie.",978-2412086988,https://m.media-amazon.com/images/I/61J11oAMgBL._SY522_.jpg,First (11 mai 2023),Alain Bauer
Incandescente pour toujours,19.0,"Professeure de chant de la Star Academy, Adeline Toniutti est LA révélation, sur TF1, de l'émission culte. Chaque semaine, sa flamboyance, son énergie, son expertise ont touché des millions de téléspectateurs. Derrière les feux des projecteurs, celle qu'on surnomme la « fille du facteur » ou la « soprano rock'n'roll » a réalisé un véritable parcours du combattant pour traverser les épreuves que la vie lui a infligées et pour retrouver le bonheur. Destinée à être chanteuse d'opéra, un accident domestique la prive de sa voix. Son compagnon se met alors à la maltraiter, les coups s'enchaînent, anorexie et chute sociale s'ensuivent. Cette vie, qui a pu la mener au bord du suicide, Adeline Toniutti nous la raconte dans Incandescente pour toujours. Intime, elle se livre, « l'âme dans la plume », à travers un récit poignant avec le ton et la force qu'on lui connaît, afin de nous rappeler : « Tant qu'on respire encore et qu'on ne nous a pas fermé les yeux, il faut se battre. »",978-2268110349,https://m.media-amazon.com/images/I/71L4QhM0B2L._SY522_.jpg,Editions du Rocher (3 avril 2024),Adeline Toniutti
