Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Megumi & Tsugumi T04,13.63,,978-2375063910,https://m.media-amazon.com/images/I/71o2nSuIRuL._SY522_.jpg,TAIFU COMICS; Illustrated édition (17 novembre 2023),SI MITSURU,Yaoi
Boy&#39s Love - Proposition idéale,7.98,"Hirokuni subit le harcèlement moral de son supérieur hiérarchique. Alors qu&#39il était au bord de l&#39effondrement, Kaï, un ami d&#39enfance qu&#39il n&#39avait pas vu depuis 12 ans, fait irruption dans sa vie. Kaï, qui n&#39a plus nulle part où loger, va se faire héberger par Hirokuni. Il y a un seul petit souci : Kaï est gay et Hirokuni lui avait autrefois fait une promesse de mariage ! Il craint grandement pour sa vertu. Pourtant Kaï se contente de lui concocter de bons petits plats chaque jour. Ne serait-ce pas plutôt Kaï qui prend soin de Hirokuni, au final ?

C&#39est là que commence la cohabitation le concubinage
entre l&#39homme d&#39intérieur et l&#39employé lassé de la vie.",978-2382760604,https://m.media-amazon.com/images/I/71-ufqeL54L._SY522_.jpg,Boy&#39s Love; Hana Book édition (27 octobre 2021),Mayo Tsurukame,Yaoi
Tadaima Okaeri - Tome 04 - Livre (Manga) - Yaoi - Hana Collection,7.95,"La vie de la famille Fujiyoshi est toujours aussi animée. D&#39événements en fêtes, Hikari grandit paisiblement et personne ne résiste à son charme, adultes comme enfants. Matsuo et ses frères, leurs voisins Yûki, Michi et Mochizuki, Hikari ne compte pas s&#39arrêter là dans sa conquête et a jeté son dévolu sur Ran... le chien d&#39une voisine !
Ces déboires d&#39enfant n&#39empêchent toutefois pas les grands d&#39avoir leurs problèmes, Yûki et Matsuo les premiers, qui commencent enfin à réaliser la nature de leur lien. Mais comment faire évoluer cette relation, quand on est aussi maladroit ? Bienvenue chez les Fujiyoshi, où les castes rigides de l&#39omegaverse n&#39empêchent personne de s&#39aimer !",978-2368776940,https://m.media-amazon.com/images/I/515PnsgbHmL._SY445_SX342_.jpg,IDP HOME VIDEO (Boy&#39s Love); Hana Collection édition (10 mars 2020),Ichikawa Ichi,Yaoi
Sasaki et Miyano - Tome 8 (VF),16.92,"Dans Sasaki et Miyano, véritable manga hybride et énorme succès au Japon, suivez le quotidien empli de douceur de deux adolescents qui apprennent à se connaître...
Le temps a passé depuis que Sasaki et Miyano se connaissent et leur quotidien a évolué. En effet, le premier s&#39apprête à entrer à l&#39université, tandis que le second fait sa rentrée en troisième et dernière année de lycée. Pour autant, cette distance relative ne semble pas perturber l&#39adorable couple. Au contraire, les deux garçons expriment le vif désir de continuer à se rapprocher...",978-2382124574,https://m.media-amazon.com/images/I/7144XBdCREL._SY522_.jpg,Akata; Illustrated édition (2 novembre 2023),Shou Harusono,Yaoi
Sasaki et Miyano - Tome 7 (VF),8.11,"Sasaki et Miyano, véritable manga hybride et énorme succès au Japon, suivez le quotidien empli de douceur de deux adolescents qui apprennent à se connaître...
Après s&#39être avoué ce qu&#39ils ressentent l&#39un pour l&#39autre, Sasaki et Miyano sont en couple. Les deux adolescents décident alors de préparer des pâtisseries ensemble pour la Saint-Valentin. Et même si la dernière année de lycée de Sasaki touche à sa fin, rien ne l&#39empêche de continuer à passer du temps avec son amoureux. Toutefois, au fur et à mesure que leur relation évolue, Miyano sent monter en lui un étrange sentiment. Serait-ce de la jalousie ?! Dans",978-2382124567,https://m.media-amazon.com/images/I/613hhFvWbOL._SY522_.jpg,Akata; Illustrated édition (7 septembre 2023),Shou Harusono,Yaoi
Hyperventilation,6.94,"Myeongi a un poumon perforé, un handicap qui provoque en lui des crises d&#39hyperventilation. Lors d&#39une soirée d&#39anciens élèves, il revoit le très charismatique Seonho qui le subjugue toujours autant. Il le connaissait au lycée et ne peut l&#39oublier, mais son camarade porte maintenant une alliance. Alors pourquoi semble-t-il lui porter un intérêt tout particulier, lui aussi ?",978-2375062562,https://m.media-amazon.com/images/I/41lkoqex4nL._SY445_SX342_.jpg,TAIFU COMICS; Illustrated édition (17 novembre 2023),Bboong Bbang KKYU,Yaoi
Tadaima okaeri - tome 03 - livre (manga) - yaoi - hana collection,16.31,"Masaki, père au foyer, et son mari Hiromu mènent une vie tranquille avec leurs enfants. Hikari, leur fils aîné, est l&#39heureux grand frère de Hinata, le nouveau rayon de soleil de la famille. Mais leur rencontre avec Mochizuki, père célibataire, et son fils, pourrait bien chambouler leur quotidien d&#39apparence calme et bien rangé. Retrouvez Hikari, Hinata et leur famille pas si banale dans ce nouvel opus qui mêle problèmes de société, bouilles adorables et amour sincère.",978-2368776391,https://m.media-amazon.com/images/I/61tiyRCZ1pL._SY522_.jpg,Boy&#39s Love Editions; Illustrated édition (5 mars 2019),Ichikawa Ichi,Yaoi
White Night Bitter Porn,12.35,"Rui Narushima, un jeune pharmacien, poursuit les conquêtes sans lendemains. Un soir, il tombe sur un jeune homme soûl du nom de Takumi Takanashi, échoué au bar où il a l&#39habitude d&#39aller. La raison de son mal-être ? Les moqueries de ses amis concernant sa virginité. Ni une, ni deux, Rui le prend sous le bras en direction d&#39un hôtel. Quelle n&#39est pas sa surprise quand il voit débarquer Takanashi à son lieu de travail quelques jours plus tard pour lui déclarer sa flamme ! Ce dernier ne lésine pas sur les moyens : observation constante et avances plus que poussées, les actions de Takanashi finiront-elles par atteindre ce bourreau des coeurs ?",978-2382764190,https://m.media-amazon.com/images/I/61x7RVoeNIL._SY522_.jpg,Boy&#39s Love; Hana Book édition (13 décembre 2023),Saori Nobana,Yaoi
Nomi & Shiba - Tome 4 (VF),12.44,"À présent que les trois jours d&#39essai sont terminés à l&#39internat, Nomiya et Mikoshiba vont pouvoir renouer avec leur quotidien paisible... ou pas ! Trop contents de se retrouver enfin dans l&#39intimité dans leur chambre, ils vont pouvoir passer aux "" choses sérieuses "". Et après la première étape de découverte de leurs corps, les voilà plus excités que jamais. Mais pour aller plus loin, ils pourraient bien avoir besoin des conseils de leur entourage, notamment de ceux de l&#39expérimenté Miyai...",978-2385313814,https://m.media-amazon.com/images/I/61O9JgNmkTL._SY522_.jpg,Akata; Illustrated édition (15 février 2024),Tohru Tagura,Yaoi
"Phases of the Moon, Love of a Beast",6.33,"Pour changer d&#39air, Izuki a accepté de s&#39occuper d&#39une vieille maison en pleine montagne. Sa mission prend un tournant fantastique lorsqu&#39il tombe sur un sanctuaire abandonné : la statue de son dernier gardien s&#39y dresse encore, et Izuki ne résiste pas à partager sa solitude avec l&#39être de pierre. Quelques heures plus tard, Izuki, égaré dans les bois, est agressé par un yôkai. Heureusement, le gardien veille toujours.",978-2382764459,https://m.media-amazon.com/images/I/61PFqM+MzeL._SY522_.jpg,Boy&#39s Love; Hana Book édition (21 février 2024),NOJIRO Guri,Yaoi
