Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Wonder Woman: Hors-la-loi tome 1,21.0,"Un massacre vient d&#39avoir lieu. La coupable serait une mystérieuse Amazone. Devant une telle atrocité, le Congrès n&#39a d&#39autre choix que de promulguer l&#39Amazon Safety Act, défendant le sol américain à toute citoyenne de Themyscira. Pour que cette loi soit appliquée au plus vite, le gouvernement met au point une équipe spéciale, dont le but est de bannir celles qui refusent d&#39obtempérer, et ce, par tous les moyens nécessaires. C&#39est donc une Wonder Woman hors-la-loi qui va devoir démêler le vrai du faux dans cette affaire. Et la vérité risque de la surprendre...",979-1026829416,https://m.media-amazon.com/images/I/519iY2ibDUL._SY445_SX342_.jpg,URBAN COMICS; Illustrated édition (24 mai 2024),KING Tom,Heroïc fantasy
Les Sortilèges de Zora - Tome 04: Le Monde de dessous,11.95,"Il faut du courage pour avancer dans l’obscurité…
Zora est une pétillante sorcière qui vit avec sa grand-mère Babouchka. Tandis qu’elle continue son apprentissage de la magie en s’acclimatant tant bien que mal aux habitudes des Nonsorciers, son corbeau Edgar, censé la protéger est mystérieusement kidnappé sous ses yeux ! Mais qui peut bien vouloir s’en prendre à lui ? Désireuse de retrouver son fidèle compagnon, Zora décide de mener l’enquête ! Tous les indices semblent la conduire vers un endroit sombre et très inquiétant. Commence dès lors une aventure qui n’aura de cesse de lui donner des frissons ! Zora parviendra-t-elle à extirper Edgar des griffes de son ravisseur ? Et si à travers Edgar, c’était plutôt elle que l’on cherchait à atteindre ? Bien des questions restent en suspens dans ce tome 4 plein d’action et de mystères !
En abordant avec délicatesse et humour les questions de la différence et de la transmission,",978-2749310060,https://m.media-amazon.com/images/I/81aiGpJ+fWL._SY522_.jpg,Vents d&#39Ouest; Illustrated édition (2 mai 2024),Judith Peignen,Heroïc fantasy
Brume - Tome 01: Le Réveil du dragon,12.5,"Apprentie sorcière : croire en soi reste le plus puissant des sortilèges !
Recueillie dans la forêt par un père aimant, Brume est une petite fille espiègle qui ne rêve que d’une seule chose : devenir sorcière ! Le jour où son papa adoptif lui dévoile l’ouvrage secret qui entoure sa naissance, un grimoire de magie, tout s’éclaire. Et si Brume était une véritable sorcière ? Et la voilà, traînant un chaudron d’occasion derrière elle, prête à ouvrir sa première échoppe de sorcière ! N’en faisant qu’à sa tête, elle recrute en chemin son assistant, un petit cochon prénommé Hubert, et se lie d’amitié avec Hugo, un petit garçon ravi de l’aider dans cette entreprise exaltante. Mais Brume ne semble pas avoir les aptitudes d’une véritable sorcière… Ses sorts ne produisent aucun effet. Quant à sa première potion, elle vient de plonger tout le village dans un épais brouillard ! Peu importe : convaincue de la puissance de ses pouvoirs, elle décide de s’engouffrer dans la forêt interdite pour combattre un dragon légendaire qu’elle tient pour seul responsable de ce brouillard nauséabond. Têtue, déterminée et un brin arrogante, elle va entraîner Hugo et Hubert dans une folle aventure qui va en surprendre plus d’un. Et si Brume avait réellement un don et une destinée hors du commun ?
Jérôme Pélissier et Carine Hinder entrent au catalogue Glénat avec une série désopilante mettant en scène une petite héroïne forte, drôle et attachante qui évolue dans univers hors du temps. Le dessin très doux et soigné de Carine Hinder et le scénario rythmé de Jérôme Pélissier font de cette trilogie la série jeunesse de la rentrée à ne pas manquer !",978-2344051733,https://m.media-amazon.com/images/I/81dBQmi3KSL._SY522_.jpg,Glénat BD; Illustrated édition (26 avril 2023),Jérôme Pélissier,Heroïc fantasy
Uncanny X-Force,80.0,"Ils doivent survivre dans un monde qui les hait et pour ça, ils sont prêts à tuer ! Voici une équipe très particulière de mutants, bien loin des héroïques X-Men ! Psylocke, Archangel, Deadpool et Fantomex acceptent d&#39être l&#39équipe d&#39assassins d&#39élite de Wolverine. Mais même pour les plus impitoyables d&#39entre eux, leur première mission qui consiste en l&#39assassinat d&#39une nouvelle incarnation d&#39Apocalypse, risque de laisser des traces. Incontournable ! La série Uncanny X-Force de Rick Remender (Uncanny Avengers) est tout simplement l&#39une des meilleures sagas mutantes de ces dernières décennies. Elle explore le côté le plus obscur de l&#39héroïsme sans jamais éluder aucune question sensible, et raconte bien des choses sur le monde actuel. Pour la première fois réunie en un album, c&#39est tout simplement LE chef-d&#39oeuvre de l&#39auteur chez Marvel.",979-1039124669,https://m.media-amazon.com/images/I/71SxRHgSzkL._SY522_.jpg,Panini; Illustrated édition (22 mai 2024),Rick Remender,Heroïc fantasy
Batman Nocturne tome 4,19.0,"Batman, désormais sous le contrôle d&#39un démon Azmer, est retenu captif en attendant son exécution publique par pendaison. Gotham est devenue une terre de non-droit sous l&#39emprise de l&#39impitoyable famille Orgham, dont le pouvoir est dorénavant incontesté depuis que la Bat-Famille a été mise en déroute. Seule une alliance contre-nature des plus grands alliés et ennemis de Batman pourrait sauver le justicier de la potence... mais peut-être est-ce déjà trop tard.",979-1026829171,https://m.media-amazon.com/images/I/41yMx7RwAYL._SY445_SX342_.jpg,URBAN COMICS; Illustrated édition (24 mai 2024),V Ram,Heroïc fantasy
Invincible - Intégrale T08,29.95,"Au lendemain de la guerre contre les Viltrumites, certains amis deviennent des ennemis et d&#39anciens ennemis deviennent des alliés. Cependant, le rôle de Mark Grayson en tant qu&#39Invincible risque bien de prendre fin ici !",978-2413045557,https://m.media-amazon.com/images/I/810ooc4M5KL._SY522_.jpg,Delcourt; Illustrated édition (23 novembre 2022),Ryan Ottley,Heroïc fantasy
Invincible - Intégrale T03,14.5,"Ce 3e recueil reprend les albums 5 & 6 de la série classique. Mark Grayson y poursuit son expérience en tant que super-héros. Retrouvez Invincible opposé au méchant Angstrom Levy, ses retrouvailles avec son père séparé et la bataille sanglante avec les Viltrumites.",978-2413036920,https://m.media-amazon.com/images/I/81JehMf8OfL._SY522_.jpg,Delcourt; Illustrated édition (5 mai 2021),Robert Kirkman,Heroïc fantasy
Astérix - Le ciel lui tombe sur la tête - n°33,10.5,la couverture de l&#39article peut varier.,978-2864971702,https://m.media-amazon.com/images/I/81q6JCd2n5L._SY522_.jpg,ALBERT RENE; Illustrated édition (14 octobre 2005),Albert Uderzo,Heroïc fantasy
Hulk : L&#39intégrale 1969 (T05),5.76,"Dans ce tome, Hulk démolit des extraterrestres, écrase l&#39Homme-Sable (l&#39ennemi de Spider-Man), combat le Mandarin et retrouve son premier et plus mortel ennemi : le Leader ! En plus, il doit toujours échapper à l&#39armée américaine, menée par le Général Ross ! En parallèle des INTÉGRALES consacrées au long séjour de Peter David sur la série, nous revenons aux sources avec ces aventures du Géant Vert datant de 1969 ! C&#39est Stan Lee lui-même qui est aux commandes d&#39histoires qui n&#39avaient pas été rééditées en France depuis plusieurs décennies !",979-1039124621,https://m.media-amazon.com/images/I/81yeHbH1PiL._SY522_.jpg,Panini; Illustrated édition (15 mai 2024),Stan Lee,Heroïc fantasy
Astérix - Le domaine des Dieux - n°17,10.9,"César veut faire disparaître le petit village gaulois qui le nargue. Pour cela, il veut faire construire tout autour une ville romaine modèle. Ainsi, le village isolé devra - selon lui - disparaître ou s&#39adapter et devenir romain.
L&#39architecte de la ville se heurte d&#39abord aux Gaulois qui l&#39empêchent de déboiser la forêt. Mais ces derniers laissent finalement faire pour que les esclaves chargés de ce travail puissent être libérés. Une fois le premier bâtiment construit et les locataires romains arrivés sur place, la situation se dégrade vite dans le petit village : tout le monde cherche à profiter de cette nouvelle clientèle. L&#39architecte de la ville se heurte d&#39abord aux Gaulois qui l&#39empêchent de déboiser la forêt. Mais ces derniers laissent finalement faire pour que les esclaves chargés de ce travail puissent être libérés. Une fois le premier bâtiment construit et les locataires romains arrivés sur place, la situation se dégrade vite dans le petit village : tout le monde cherche à profiter de cette nouvelle clientèle.",978-2012101494,https://m.media-amazon.com/images/I/91CBsWXUccL._SY522_.jpg,HACHETTE ASTERIX; Illustrated édition (10 janvier 2005),René Goscinny,Heroïc fantasy
Invincible - Intégrale T04,29.95,"De super-héros débutant, Invincible devient un super-héros établi ! Ce volume rassemble la violente bataille d&#39Invincible avec les Reanimen, la tentative d&#39invasion des créatures venues de Mars et l&#39introduction de l&#39agent Viltrumite, Anissa.",978-2413041924,https://m.media-amazon.com/images/I/81TgpUZ4-tL._SY522_.jpg,Delcourt; Illustrated édition (22 septembre 2021),Robert Kirkman,Heroïc fantasy
Excalibur : L&#39intégrale 1990-1991 (T04),11.38,"Excalibur vit de nouvelles aventures, toujours plus déjantées ! Diablo rencontre le fils de Krakoa, Kitty Pryde a enfin retrouvé le reste de l&#39équipe, Captain Britain affronte Air-Walker et Excalibur s&#39associe à Miss Hulk ! Une question : l&#39équipe est-elle prête pour le procès de Lockheed le Dragon ? Voici un volume en forme d&#39interlude, faisant le pont entre la période associant Chris Claremont à Alan Davis et le retour du dessinateur sur la série. Scott Lobdell, l&#39un des scénaristes majeurs des X-Men dans les années 90 prend le relais, avec un grand nombre d&#39épisodes qui n&#39avaient jamais été publiés en France !",979-1039124614,https://m.media-amazon.com/images/I/514xpH7OlML._SY445_SX342_.jpg,Panini; Illustrated édition (15 mai 2024),Chris Claremont,Heroïc fantasy
Invincible - Intégrale T11,5.58,"Eve et Invincible ont disparu de la surface de la Terre. Ils sont partis pour un monde meilleur ... en l&#39occurrence une autre planète. Pendant ce temps, les choses ne font qu&#39empirer sur Terre, et plus rien ne sera jamais comme avant...",978-2413048688,https://m.media-amazon.com/images/I/81BzUtRS4wL._SY522_.jpg,Delcourt; Illustrated édition (22 novembre 2023),Ryan Ottley,Heroïc fantasy
Invincible - Intégrale T05,14.27,"Après avoir pris la suite de son père comme agent infiltré chez les humains, Invincible doit faire face au flot de questions posées par Allen, l&#39alien revenu spécifiquement pour lui soutirer des informations. Les Viltrumites débarquent également sur Terre pour constater ses progrès...",978-2413045526,https://m.media-amazon.com/images/I/813a0Q-R9xL._SY522_.jpg,Delcourt; Illustrated édition (16 février 2022),Robert Kirkman,Heroïc fantasy
