Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Blooming Girls T05,17.35,"Kazusa fait partie du club de littérature de son lycée. Un jour, l&#39une des membres annonce qu&#39elle voudrait faire l&#39amour avant de mourir. Cet aveu marque le début d&#39une période agitée pour les cinq jeunes filles qui vont finir par aborder un sujet tabou jusque-là : le sexe. Chacune d&#39entre elles va vivre sa première histoire d&#39amour. Et si aucune de nous ne franchissait le pas ? Et si on mourait sans avoir vécu « ça » ?",978-2413037460,https://m.media-amazon.com/images/I/81ZbumWmCzL._SY522_.jpg,Delcourt; Illustrated édition (15 mai 2024),OKADA+EMOTO,Josei
How to Make Delicious Coffee T03,7.12,"Une histoire plus tendre que corsée...
"" Oui, je suis amoureux d&#39elle. ""

Plusieurs mois ont passé depuis cet aveu devant le patron du café. Hiromi Nakazawa, professeur d&#39anglais et collègue de Karen, passe à l&#39attaque !

Katsutoshi décide de suivre Karen à Kamogawa afin de lui déclarer à nouveau sa flamme. Comment va-t-elle réagir ?

Série terminée en 12 tomes, avec pages intérieures colorisées",979-1035505226,https://m.media-amazon.com/images/I/61aMubhl-mL._SY522_.jpg,Mana Books; Illustrated édition (16 mai 2024),Yuka Murayama,Josei
Anna et le prince d&#39Albion T01,7.19,"Anna, seconde fille de la famille de nobles Harmich, en a assez des coutumes qui veulent qu&#39une femme n&#39ait d&#39autres objectifs que de flatter les grands seigneurs... Obsédée par l&#39art de la guerre, elle rêve de combattre aux côtés de son père, l&#39un des plus grands guerriers de l&#39empire. Malheureusement, son père vient à mourir lors d&#39un récent conflit avec le pays voisin d&#39Albion et elle se voit offerte en tribut à ce dernier. Anna n&#39a d&#39autre choix que de se rendre à Albion, mais elle n&#39est cependant pas décidée à garder sa lame dans sa poche",978-2380600704,https://m.media-amazon.com/images/I/71KjRw+7GiL._SY522_.jpg,Naban Editions; Illustrated édition (5 avril 2024),An Ogura,Josei
365 Days to the Wedding T02,8.34,"Mariés ou mutés !
Un faux mariage : la solution idéale pour ne rien changer à leurs vies de célibataires.

Alors que Takuya et Rika ont mis leur plan à exécution, des sentiments amoureux semblent naître entre eux. Cependant, leur manque d&#39expérience dans ce domaine les empêche d&#39y croire. Ce n&#39est qu&#39un faux mariage, après tout ! Pour ne rien faciliter, l&#39un des plus grands obstacles au mariage se dresse devant eux : la famille !

Le garçon à lunettes qui adore son chat et la jeune fille passionnée par les cartes parviendront-ils à surmonter cette nouvelle épreuve ?

Série terminée en 11 tomes",979-1035505141,https://m.media-amazon.com/images/I/71orAsOAjML._SY522_.jpg,Mana Books; Illustrated édition (18 avril 2024),Tamiki Wakaki,Josei
Qu&#39est-ce qui cloche avec la secrétaire Kim ? T05,14.95,"Lee Young Joon est l&#39héritier d&#39une entreprise prestigieuse qu&#39il tient d&#39une main de fer. Il considère qu&#39il est l&#39incarnation de la perfection. Alors quand sa secrétaire, Kim Miso, lui annonce qu&#39elle veut démissionner pour trouver un petit ami, c&#39est la douche froide ! Qu&#39est-ce qui lui prend ? Pour la garder auprès de lui il est prêt à tout...",978-2382880494,https://m.media-amazon.com/images/I/71TsmbBakzL._SY522_.jpg,Kbooks; Illustrated édition (6 juillet 2022),Myeongmi Kim,Josei
Switch Me On - Tome 9 (VF),18.26,"Dans Switch Me On, Kujira explore avec aisance et bienveillance la complexité de l&#39évolution des rapports humains à l&#39âge adulte. Plongez sans attendre dans ce manga addictif, sexy et adorable à la fois !
Enomoto et Sachi sont amis depuis toujours. En grandissant, ils ont fini par comprendre que ce qu&#39ils éprouvaient l&#39un pour l&#39autre était en réalité de l&#39amour. Aussi, devenus adultes, ils décident de se mettre en couple et même, de se marier. Mais contre toute attente, ils n&#39ont pas encore consommé leur union. Et lors de la nuit de noces, Enomoto ne sait pas comment annoncer à son épouse qu&#39il est encore vierge...",978-2382124789,https://m.media-amazon.com/images/I/61+mHkyVD7L._SY522_.jpg,Akata; Illustrated édition (18 avril 2024),Kujira,Josei
Blooming Girls T06,7.29,"Kazusa fait partie du club de littérature de son lycée. Un jour, l&#39une des membres annonce qu&#39elle voudrait faire l&#39amour avant de mourir. Cet aveu marque le début d&#39une période agitée pour les cinq jeunes filles qui vont finir par aborder un sujet tabou jusque-là : le sexe. Chacune d&#39entre elles va vivre sa première histoire d&#39amour. Et si aucune de nous ne franchissait le pas ? Et si on mourait sans avoir vécu « ça » ?",978-2413037477,https://m.media-amazon.com/images/I/81qusALn4LL._SY522_.jpg,Delcourt; Illustrated édition (15 mai 2024),OKADA+EMOTO,Josei
Qu&#39est-ce qui cloche avec la secrétaire Kim ? T06,14.95,"Lee Yeongjun est l&#39héritier d&#39une entreprise prestigieuse qu&#39il tient d&#39une main de fer. Il considère qu&#39il est l&#39incarnation de la perfection. Alors quand sa secrétaire, Kim Miso, lui annonce qu&#39elle veut démissionner pour trouver un petit ami, c&#39est la douche froide ! Qu&#39est-ce qui lui prend ? Pour la garder auprès de lui il est prêt à tout...",978-2382880500,https://m.media-amazon.com/images/I/713ybHP2blL._SY522_.jpg,Kbooks; Illustrated édition (23 novembre 2022),Myeongmi Kim,Josei
Entre les lignes - Tome 10,7.7,"La deuxième année de lycée d&#39Asa touche à sa fin... Elle doit commencer à réfléchir à l&#39université qu&#39elle souhaite intégrer à la fin de ses études. À l&#39approche de leur dernière année de lycées, chacune se demande comment leurs relations avec les autres vont évoluer avec le temps...",978-2505125723,https://m.media-amazon.com/images/I/71bKOGnV16L._SY522_.jpg,KANA (7 juin 2024),Tomoko Yamashita,Josei
Distress - Tome 2,16.0,"Lenny et Anoki continuent de mener l&#39enquête, poursuivant une créature mystérieuse dans les rues de Montréal. Mais un week-end entre amis dans un chalet, va bouleverser leur relation et leur connaissance l&#39un de l&#39autre. L&#39histoire de l&#39accident de Lenny va affecter Anoki au plus profond de son être. Ce dernier semble s&#39en vouloir personnellement et s&#39éloigne de son ami sans que Lenny ne comprenne pourquoi. La vérité est-elle toujours bonne à dire ?

Une première histoire qui se termine dans l&#39univers de Distress ! Toth-M continue de développer son univers d&#39urban fantasy en jouant avec les codes du Boy&#39s love. Une pépite !",978-2808504362,https://m.media-amazon.com/images/I/71AA-DwtvjL._SY522_.jpg,DUPUIS; Illustrated édition (13 octobre 2023),Toth-M,Josei
