Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Blacksad, tome 4 : L&#39Enfer, le silence",15.95,"Années 1950, La Nouvelle-Orléans, où la fête de Mardi gras bat son plein. Grâce à Weekly, un producteur de jazz dénommé Faust fait la connaissance de Blacksad. Faust demande à ce dernier de s&#39occuper d&#39une affaire : un de ses musiciens, le pianiste Sebastian, a disparu. Il n&#39a pas donné signe de vie depuis des mois, mettant en péril le label musical privé d&#39une star. Faust craint que Sebastian ait, une fois de trop, sombré dans la drogue. Sa requête est d&#39autant plus pressante que Faust se sait atteint d&#39un cancer. Blacksad accepte la mission et découvre peu à peu que Faust ne lui a pas tout dit. Il s&#39aperçoit qu&#39il est lui-même manipulé, mais décide tout de même de retrouver Sebastian pour comprendre les raisons de sa disparition. Il ne sait pas encore qu&#39il va connaître son enquête la plus éprouvante, à plus d&#39un égard.",978-2205063134,https://m.media-amazon.com/images/I/91s1eBMhhmL._SY522_.jpg,Dargaud; Illustrated édition (16 septembre 2010),Juan Díaz Canales,Mystère et suspense
"Blacksad, tome 5 : Amarillo",16.58,"Avec Amarillo, tome 5 de Blacksad, Juan Díaz Canales et Juanjo Guarnido entraînent leurs héros – Blacksad, le chat détective privé – dans un road-movie qui n’est pas sans évoquer la « beat generation »… Ce cinquième épisode de Blacksad, Amarillo, s’ouvre à La Nouvelle-Orléans : Weekly doit quitter la ville ; il y laisse John qui préfère rester sur place pour chercher du travail. Par chance, celui-ci croise justement un riche Texan qui lui propose de ramener sa voiture chez lui : un boulot simple et bien payé ! Le détective accepte, mais, dans une station-service, il se fait voler la voiture par Chad Lowell et Abe Greenberg – deux écrivains beatniks qui cherchent à rejoindre Amarillo, au Texas. Bientôt, une querelle entre les deux hommes, rivaux, vire au drame : Chad, poussé à bout, tire sur Abe qui meurt sur le coup. Obligé de fuir, Chad trouve refuge dans un cirque. John se lance à sa poursuite sur les routes américaines du Nouveau-Mexique, du Colorado, du Texas et de l’Illinois. Amarillo est le 5e album de Blacksad, une série qui met en scène un chat détective, dans une ambiance qui évoque furieusement le roman noir de la littérature américaine.",978-2205071801,https://m.media-amazon.com/images/I/91aQX2vMcEL._SY522_.jpg,DARGAUD; Illustrated édition (15 novembre 2013),Juan Díaz Canales,Mystère et suspense
"RIP T3 - Ahmed, au bon endroit au mauvais moment",17.45,"Après un premier tome consacré à Derrick et un deuxième dédié à Maurice, nous plongeons désormais dans le quotidien sordide d’Ahmed, jeune flic spécialisé dans l’étude des insectes. Plongé dans une affaire criminelle qui le dépasse mais décidé à faire ses preuves, Ahmed risque bien de se retrouver au bon endroit… au mauvais moment.",978-2380460414,https://m.media-amazon.com/images/I/81NHMTQqLEL._SY522_.jpg,Petit à petit; Illustrated édition (28 août 2020),Julien Monier,Mystère et suspense
Il était une fois en France - Intégrale « roman graphique »,49.0,"L&#39intégrale du monument en version roman graphique !
Orphelin. Immigré. Ferrailleur. Milliardaire. Collabo. Résistant. Criminel pour certains, héros pour d’autres... Joseph Joanovici fut tout cela et bien plus encore.
De 2007 à 2012, Fabien Nury et Sylvain Vallée ont raconté le destin hors-norme de ce personnage à travers une formidable saga historique, adulée par la critique et le public : récompensée par de nombreux prix – dont celui de la Meilleure Série à Angoulême en 2012 – et vendue à plus d’un million d’exemplaires.
Une série BD devenue incontournable maintenant disponible dans une nouvelle édition type ""roman graphique"" qui accentue l&#39unité de ce magistral récit fleuve.",978-2344044896,https://m.media-amazon.com/images/I/717v1nVzblL._SY522_.jpg,Glénat BD; Illustrated édition (2 décembre 2020),Fabien Nury,Mystère et suspense
Blake & Mortimer - Tome 28 - Le Dernier Espadon,16.5,"Sur une route d’Angleterre, une voiture roule en direction de l’aéroport militaire de Hasley. À son bord, le major Rupert Humbletweed, chargé d’une mission secrète pour le gouvernement britannique. Au Centaur Club, à Londres, le capitaine Francis Blake dîne d’un roastbeef trop cuit avec son ami, le professeur Philip Mortimer. Il lui confie une opération de la plus haute importance : se rendre au Pakistan pour modifier le code d’activation des Espadons stockés dans la base de Makran, afin de permettre leur transfert jusqu’à Scaw-Fell, en Angleterre. Blake, qui vient de prendre la direction du MI 5, doit ensuite partir pour l’Ulster : d’après l’un de ses agents, l’IRA préparerait un complot d’envergure contre l’Angleterre… Premier scénariste à avoir repris les aventures de Blake et Mortimer, avec L’Affaire Francis Blake, Jean Van Hamme imagine une suite à l’album inaugural de la série, Le Secret de l’Espadon, qu’il avait découvert lors de sa parution dans Tintin. Vibrant hommage à Edgard P. Jacobs, ce Dernier Espadon est servi par le graphisme très « jacobsien » de Teun Berserik et Peter van Dongen, les dessinateurs de La Vallée des Immortels.",978-2870972854,https://m.media-amazon.com/images/I/91KvnOoRtQL._SY522_.jpg,BLAKE MORTIMER; Illustrated édition (19 novembre 2021),Van Hamme Jean,Mystère et suspense
Louise Beauvoir: Disparition en corse,22.0,"Dans un petit hameau corse, un couple sans histoire découvre une jeune fille inconsciente près d&#39une voiture accidentée. Avec elle, une mallette remplie de billets... En vacances dans les Alpilles, Louise Beauvoir croit reconnaître la disparue dont on parle dans les journaux : elle ressemble trait pour trait à la jeune fille qu’elle recherche depuis sept ans… Pas question d’annuler les vacances, Louise change simplement de destination…",978-2731690422,https://m.media-amazon.com/images/I/81RGBkdsrUL._SY522_.jpg,Les Humanoïdes Associés (5 juin 2024),Bruno Lecigne,Mystère et suspense
Complots à Versailles - Tome 8 Le frère caché,13.1,"Un nouveau tome inédit pour la série !
Novembre 1690, Pauline est impatiente de revoir Cécile de retour de Martinique avec Luis qui a maintenant 4 ans... Au château des Rovigny, Madame de Payol fait part d&#39une rumeur à Cécile et Guillaume : Silvère ne serait pas celui qu&#39il prétend être, il aurait usurpé l&#39identité du vrai fils Galéas des Réaux. Guillaume essaie d&#39en savoir plus sur cet imposteur pour défendre son plus proche ami.",978-2822240871,https://m.media-amazon.com/images/I/71Z-+D2WkUL._SY522_.jpg,Jungle; Illustrated édition (2 novembre 2023),Annie Jay,Mystère et suspense
Blake & Mortimer - Tome 27 - Le Cri du Moloch,16.5,"Dans le précédent opus scénarisé par Jean Dufaux, ""L&#39Onde Septimus"", la menace d&#39un engin extraterrestre, baptisé Orpheus, avait été déjouée grâce au sacrifice d&#39Olrik. Depuis, le ""colonel"" vit reclus dans un asile psychiatrique. Tandis que Philip Mortimer tente de ramener à la raison son vieil adversaire, il apprend qu&#39il existe un autre Orpheus. À bord d&#39un cargo transformé en laboratoire secret, le professeur découvre l&#39étrange pilote de cette machine : un alien à forme humaine, sombre et hiératique, auquel les scientifiques ont donné le nom de ""Moloch"", la divinité biblique. Mais les réactions de ce Moloch, et les hiéroglyphes qu&#39il laisse derrière lui comme autant de messages indéchiffrables, font craindre le pire. Cette fois encore, la capitale britannique est en danger. À moins qu&#39Olrik ne joue de nouveau les héros...",978-2870972922,https://m.media-amazon.com/images/I/914oLE+gc3L._SY522_.jpg,BLAKE MORTIMER; Illustrated édition (20 novembre 2020),Dufaux Jean,Mystère et suspense
The Complete Calvin And Hobbes-,13.18,"Join Calvin and Hobbes on all their adventures in this four-volume collection of every comic strip from the comic strip’s eleven year history (1985 to1996).

Calvin and Hobbes is unquestionably one of the most popular comic strips of all time. The imaginative world of a boy and his real-only-to-him tiger was first syndicated in 1985 and appeared in more than 2,400 newspapers when Bill Watterson retired on January 1, 1996. The entire body of Calvin and Hobbes cartoons published in a truly noteworthy tribute to this singular cartoon in The Complete Calvin and Hobbes. Composed of four paperback, four-color volumes in a sturdy slipcase, this New York Times best-selling edition includes all Calvin and Hobbes cartoons that ever appeared in syndication. This is the treasure that all",,https://m.media-amazon.com/images/I/61++y5KoABL._SY522_.jpg,Andrews McMeel Publishing; Reprint édition (13 novembre 2012),Bill Watterson,Mystère et suspense
Blake & Mortimer - Tome 1 - Le Secret de l&#39Espadon - Tome 1,16.5,"Le 26 septembre 1946, les lecteurs de Tintin découvraient la toute première page du Secret de l&#39Espadon. Soixante-quinze ans plus tard, celle-ci appartient à l&#39histoire de la bande dessinée. En effet, comme les dix-huit premières planches de cette aventure inaugurale, elle a largement été remaniée par Edgar P. Jacobs pour la parution en album. Plusieurs cases ont été redessinées, tandis que d&#39autres ont été purement et simplement supprimées, obligeant l&#39auteur à élaborer une nouvelle composition. Les textes des phylactères ont été réécrits. Le trait a été affiné, gagnant en précision et en lisibilité. Jacobs a donc procédé à un remaniement complet de ces premières pages qui seront d&#39ailleurs réduites à dix-sept dans l&#39album. Il a également ajouté une introduction qui ne figurait pas dans Tintin. La nouvelle édition du Secret de l&#39Espadon reprend l&#39intégralité des planches initialement publiées dans le journal Tintin. Elles ont été scannées à partir des numéros originaux de l&#39hebdomadaire, ce qui permet d&#39en redécouvrir les couleurs d&#39origine. Cette édition en deux volumes tirés chacun à 6000 exemplaires est agrémentée d&#39un dossier passionnant, piloté par Daniel Couvreur et comportant de nombreux documents inédits.",978-2870971659,https://m.media-amazon.com/images/I/91NZf0ahH+L._SY522_.jpg,BLAKE MORTIMER (15 janvier 2013),Edgar P. Jacobs,Mystère et suspense
