Nom,Description,Photo
Héloïse Junier,"Héloïse Junier, autrice à succès et psychologue pour enfants, accompagne les familles. Elle aide les jeunes enfants et leurs parents à traverser les grands moments et les soucis du quotidien. Retrouvez-la sur @lapsycontreattaque et sur heloisejunier.com

Carole Xénard est illustratrice depuis 2006. Elle a étudié aux Arts Décoratifs de Paris. Elle travaille pour l&#39édition et la presse jeunesse, et enseigne le dessin et l&#39illustration à l&#39École de Condé de Paris",
Souad,"Sous le pseudonyme de Souad se cache une femme, née en Cisjordanie, au destin exceptionnel. À dix-sept ans, tombée enceinte d&#39un homme, avec lequel elle n&#39était pas marié, elle est condamnée à mort par ses proches afin de sauver leur honneur. Brûlée vive par son beau-frère, elle réussit à s&#39enfuir et gagne l&#39Europe grâce à Jacqueline, fondatrice de Surgir. Aujourd&#39hui, mariée et mère de trois enfants, elle se bat au quotidien pour trouver sa place dans la société et avec son livre elle aide à dénoncer ces crimes dont de nombreuses femmes sont encore victimes. Avec la collaboration de Marie-Thérèse Cuny, elle nous livre pour la première fois son témoignage dans Brûlée vive.",
Cyril Malka,,https://m.media-amazon.com/images/S/amzn-author-media-prod/k5kck3d2vhmfr95etel9a9ckce._SY600_.jpg
Lucile Peytavin,"Lucile Peytavin est historienne, spécialiste du travail des femmes dans l’artisanat et le commerce. Elle est experte dans la prise en charge des violences pour le cabinet Psytel. Elle est membre de l’Observatoire sur l’émancipation économique des femmes de la Fondation des femmes. Le Coût de la virilité est son premier essai.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Souryu,Souryu est un mangaka japonais. Il s&#39est notamment fait connaître avec Magical Girl Holy Shit (série en cours depuis 2016) et Black Girls High School (en cours depuis 2017) qu&#39il dessine en parallèle. Kouiu noga ii est son dernier titre en date.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Ron Garney,"Scénariste et dessinateur de bandes dessinées. Titulaire d&#39un diplôme d&#39art à la Webster University de St. Louis.

Dessinateur de bandes dessinées.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Andreea Gruev-Vintila,« essai limpide et parfaitement documenté » Psychologies Magazine,
LINK+SHOUNO,,
Rensuke Oshikiri,"Rensuke Oshikiri est la star-montante du manga. L&#39auteur de Bip-Bip Boy (sorti chez Omaké Books) et de High-Score Girl (dont une série animée est disponible sur Netflix) a déjà signé plus d&#39une vingtaine de titres et gagné de nombreux prix. Né le 19 septembre 1979, il vit actuellement à Tokyo.",
Miu Miura,Miu MIURA est une jeune mangaka de Tokyo qui a débuté dans l&#39univers du manga underground. Children est sa première série professionnelle.,
Adrian Langenscheid,,https://m.media-amazon.com/images/S/amzn-author-media-prod/lie5lk65guc367au3df9k3e6bh._SY600_.jpg
Ron Garney,"Scénariste et dessinateur de bandes dessinées. Titulaire d&#39un diplôme d&#39art à la Webster University de St. Louis.

Dessinateur de bandes dessinées.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Caroline Darian,Caroline Darian est cadre supérieure dans une grande entreprise.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frédéric Ploquin,"Frédéric Ploquin est un grand reporter. Son oeil attentif qui suit de près les évolutions de notre société fait de lui un journaliste d&#39investigation particulièrement reconnu, spécialisé dans les domaines de la police, du banditisme et du renseignement. Il est également l&#39auteur des livres La Peur a changé de camp, de La Haine dans les yeux coécrit avec David Le Bars ou encore Médecin du RAID, écrit avec Matthieu Langlois.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Peimane Ghaleh-Marzban,,
Judith Chemla,Judith Chemla est actrice et chanteuse lyrique.,
Margo Kitts,"Kitts presents a detailed study of oath making in Homer&#39s Iliad, both the ritual details and the consequences of oath breaking; in particular, she distinguishes between commensal sacrifices and those involving oaths, and she looks at instances in which deaths on the battlefield are compared to the deaths of sacrificial animals. In doing so, Kitts makes good use of comparative Near Eastern material, including Hittite, Assyrian, and biblical texts.
Choice

""The book is fluently written and the discussion throughout is careful and detailed. There are many useful references to secondary material, and a valuable appendix of the key passages in Greek."" - Fiona McHardy, Roehampton University

""Margo Kitt offers scholars a number of intriguing new views on well-known pieces of poetic material...anyone interested in studying religious rituals-actual or imagined-will profit intellectually from observing Iliadic oath sacrifices through Kitt&#39s wide-ranging and often keen-sighted eyes.""
Shubha Pathak, The Journal of Religion",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Laure Blanc Halévy,Laure Blanc-Halévy. Ancienne élève de L&#39ENS de Fontenay-Saint-Cloud. Agrégée de lettres modernes. Professeure de chaire supérieure au Lycée Saint-Louis (Paris). Pierre Prodromidès. Elève de l&#39ENS Ulm. Agrégé de philosophie.,
ARAKI KEI,,
Myriam PIERSON-BERTHIER,"Médecin psychiatre, spécialisée en psychiatrie de l’enfant et de l’adolescent, interne des Hôpitaux psychiatriques de Nancy, elle a longtemps exercé en service médico-sociaux ainsi qu’en néonatalogie. Elle est aujourd’hui formatrice et experte auprès les tribunaux judiciaires (Meurthe et Moselle et Aude).",
John Edward Douglas,John Edward Douglas a rejoint le FBI en 1970 et y a créé la première cellule de profilage. Mark Olshaker est un auteur américain de best-sellers.,
Rose Lamy,"Après avoir travaillé dans la musique et la communication, Rose Lamy a créé en 2019 le compte Instagram « Préparez-vous pour la bagarre », suivi aujourd’hui par près de 220 000 personnes. Son premier livre, Défaire le discours sexiste dans les médias (Lattès, 2021 ; Points, 2022), a rencontré un large succès commercial et critique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Randa Ben Romdhane,"Randa Ben Romdhane, formée en psychologie appliquée, utilise des outils pratiques issus des thérapies cognitives et comportementales pour accompagner les survivants de violences psychologiques. Elle est suivie par plus de 125 000 personnes sur sa chaîne YouTube ""L&#39audace d&#39être soi"", dédiée au décryptage de la manipulation psychologique et des relations toxiques dans le cadre des relations amoureuses et familiales.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
