Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Mortelle Adèle et les Reliques du Chat-Lune - Les Grandes Aventures - Tome 04,6.7,"La nouvelle Grande Aventure de Mortelle Adèle !

Connais-tu le Chat-Lune ?
Cette divinité aux dons incroyables a la capacité de conférer de puissants pouvoirs aux félins qui se présentent à elle. Mais pour avoir cette chance, il faut d&#39abord réunir les trois légendaires reliques que
le Chat-Lune a cachées aux quatre coins du monde...

Et ça tombe bien ! Car Mortelle Adèle est prête à relever le défi, l&#39occasion rêvée de réussir à enfin transformer Ajax !

Alors qu&#39un étrange ennemi se lance lui aussi à la recherche des reliques, Mortelle Adèle, aidée par Charlie et Magnus, va devoir redoubler d&#39ingéniosité pour venir à bout des énigmes et des obstacles qui la séparent de l&#39apparition du Chat-Lune ! Alors accroche ta ceinture et lance-toi avec elle dans ce tour du monde périlleux et plein de rebondissements qui te conduira aux confins de la Bizarrerie !",978-2494678101,https://m.media-amazon.com/images/I/71UvoCI9jEL._SY522_.jpg,Mr Tan & Co; Illustrated édition (2 novembre 2023),Mr Tan,Comics
"Sherlock Holmes et Moriarty, associés - La BD dont vous êtes le héros",20.0,"Sherlock Holmes est engagé par le comte de Morcar pour l&#39escorter lors de son voyage en train. L&#39implacable logique du détective sera bientôt mise à rude épreuve : diamants volés, mort mystérieuse et enlèvement d&#39une princesse. Heureusement, il est accompagné par son fidèle acolyte, le docteur Watson. Mais son ennemi de toujours, Moriarty, est aussi du voyage...",978-2917371688,https://m.media-amazon.com/images/I/81AVPztG7GL._SY522_.jpg,Makaka; Illustrated édition (26 novembre 2014),Boutanox,Comics
Yoko Tsuno - Tome 31 - L&#39aigle des Highlands,19.12,"Il se passe de drôles de choses dans les vestiges de l&#39abbaye de Loch Castle : des moines fouillent les ruines à la recherche de traces d&#39une diablesse et de son animal satanique. Mais ces moines sont surpris par Emilia et viennent s&#39expliquer auprès de Yoko. Ils racontent que la diablesse en question, une adolescente aveugle qui voyait à travers les yeux d&#39un aigle mécanique, aurait disparu dans une spirale de lumière !

À l&#39aide de Monya et de son translateur, Yoko part pour le XIIIe siècle découvrir ce qui s&#39est réellement passé dans l&#39abbaye calcinée.

Roger Leloup a pris l&#39habitude d&#39alterner histoires dans l&#39espace et histoires « terrestres ». Que ce soit sur (ou sous) Terre ou dans l&#39espace, ses histoires sont toujours passionnantes et empreintes d&#39humanisme.",978-2808504942,https://m.media-amazon.com/images/I/81MhAi8enlL._SY522_.jpg,DUPUIS; Illustrated édition (17 mai 2024),Leloup,Comics
"BD Mortelle Adèle, Tome 14: Prout atomique",11.5,"«  Je ne sais pas pourquoi, mais les adultes ont l&#39air de penser que les bébés sont toujours mignons et innocents. C&#39est faux  ! Ce n&#39est pas parce qu&#39ils bavent partout et qu&#39ils ne savent pas tenir assis qu&#39il faut les sous-estimer  ! La preuve, moi, quand j&#39étais bébé, j&#39avais déjà des idées mortelles  !  » 
Comment Adèle est-elle devenue une adorable peste  ? Facile  : elle est née comme ça  ! Couches puantes, attaque de vomi, regards tueurs  : bébé Adèle ne laisse aucun répit à ses parents, ni à ses camarades de bac à sable. Qui a dit que les bébés étaient tous des anges  ?

© Mr Tan et Diane Le Feyer d&#39après l&#39oeuvre créée par Mr Tan et Miss Prickly",978-1027604365,https://m.media-amazon.com/images/I/71umoGL6TCL._SY522_.jpg,Bayard Jeunesse; Illustrated édition (23 mai 2018),Mr Tan,Comics
Solo Leveling T13 + Solo Leveling Roman T01,29.9,"Lorsque d&#39étranges portails sont apparus aux quatre coins du monde, l&#39humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n&#39hésitent pas à foncer au coeur des donjons pour combattre les créatures qu&#39ils abritent.",978-2382882672,https://m.media-amazon.com/images/I/71kmSUwTHlL._SY522_.jpg,Kbooks; Illustrated édition (29 mai 2024),DUBU(REDICE STUDIO),Comics
Les Cahiers d&#39Esther - Tome 9 Histoires de mes 18 ans,17.9,"Le dernier tome de la série culte !
Esther est en terminale, ça y est !
C&#39est l&#39année du bac (cette horreur), des choix d&#39orientation qu&#39on ne veut pas faire, de Parcoursup, cette bénédiction (rires), des illusions qui se brisent, de l&#39enfance qui s&#39évapore, et des Cahiers d&#39Esther qui s&#39arrêtent... Mais c&#39est aussi l&#39année des 18 ans, de la liberté de pouvoir enfin faire ce qu&#39on veut ! Tout ce qu&#39on veut ! Et peut-être aussi l&#39année de la fin du célibat éternel, qui sait ?

D&#39où venons, où allons-nous, et surtout ça sert à quoi la vie en vrai ? Y a-t-il seulement une réponse à cette question qu&#39en pensez-vous vous avez 4 heures MDR... Esther philosophe et a un peu le vertige au moment du grand envol, mais ça va bien se passer, hein, on y croit...",978-2370734952,https://m.media-amazon.com/images/I/61SwJEb82CL._SY522_.jpg,Allary (6 juin 2024),Riad Sattouf,Comics
"Sherlock Holmes et Moriarty, associés - La BD dont vous êtes le héros",20.0,"Sherlock Holmes est engagé par le comte de Morcar pour l&#39escorter lors de son voyage en train. L&#39implacable logique du détective sera bientôt mise à rude épreuve : diamants volés, mort mystérieuse et enlèvement d&#39une princesse. Heureusement, il est accompagné par son fidèle acolyte, le docteur Watson. Mais son ennemi de toujours, Moriarty, est aussi du voyage...",978-2917371688,https://m.media-amazon.com/images/I/81AVPztG7GL._SY522_.jpg,Makaka; Illustrated édition (26 novembre 2014),Boutanox,Comics
Ma soeur & mon beau-frère - Sellig & Co. - tome 01,5.93,"L&#39humoriste nous présente sa drôle de famille... pas si éloignée de la nôtre ! Sellig nous entraîne dans l&#39exploration de son quotidien (et du nôtre par la même occasion), riche en situations à la fois agaçantes et drôles. Accompagné de sa soeur, un Schwarzy en jupon, de son beau-frère Bernard, agent EDF complètement éteint, et de son neveu Jürgen, Sellig partage ses souvenirs de vacances, de déménagement, de réveillons, de sports d&#39hiver... Des aventures qui font, depuis trente ans, toute la saveur de la saga humoristique de Sellig.",978-2818999318,https://m.media-amazon.com/images/I/718YTo0uuNL._SY522_.jpg,Bamboo; Illustrated édition (29 mai 2024),Erroc,Comics
Solo Leveling T12,6.85,"Lorsque d&#39étranges portails sont apparus aux quatre coins du monde, l&#39humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n&#39hésitent pas à foncer au coeur des donjons pour combattre les créatures qu&#39ils abritent.",978-2382882542,https://m.media-amazon.com/images/I/7160CtzNFVL._SY522_.jpg,Kbooks; Illustrated édition (10 janvier 2024),DUBU(REDICE STUDIO),Comics
Invincible - Intégrale T12,29.95,Le récit final des aventures de Mark Grayson - alias Invincible - et d&#39Atom Eve s&#39étend d&#39un bout à l&#39autre de l&#39univers de la série. Chacune des histoires développées depuis plus de 15 ans mène à ce moment : la fin de toutes choses...,978-2413048695,https://m.media-amazon.com/images/I/81Ov93PXoNL._SY522_.jpg,Delcourt (29 mai 2024),Ryan Ottley,Comics
"BD Mortelle Adèle, Tome 13: Big bisous baveux",11.5,© Mr Tan et Diane Le Feyer d&#39après l&#39oeuvre créée par Mr Tan et Miss Prickly,978-1027603603,https://m.media-amazon.com/images/I/71Kp5fvbIIL._SY522_.jpg,Bayard Jeunesse; Illustrated édition (25 octobre 2017),Mr Tan,Comics
"Sherlock Holmes et Moriarty, associés - La BD dont vous êtes le héros",20.0,"Sherlock Holmes est engagé par le comte de Morcar pour l&#39escorter lors de son voyage en train. L&#39implacable logique du détective sera bientôt mise à rude épreuve : diamants volés, mort mystérieuse et enlèvement d&#39une princesse. Heureusement, il est accompagné par son fidèle acolyte, le docteur Watson. Mais son ennemi de toujours, Moriarty, est aussi du voyage...",978-2917371688,https://m.media-amazon.com/images/I/81AVPztG7GL._SY522_.jpg,Makaka; Illustrated édition (26 novembre 2014),Boutanox,Comics
Enquêtes surnaturelles,20.0,"Vous incarnez le détective Holmes, le docteur Watson ou leur allié Thomas Carnacki, le chasseur de mystères. Confronté à des crimes surnaturels survenus à Londres, vous devrez mettre votre intelligence et vos convictions à l&#39épreuve si vous espérez les élucider. Les faits relèvent-ils de créatures infernales ou de simples mystificateurs ? Gardez l&#39esprit clair, soyez méthodique, interrogez les témoins avec tact, fouillez les lieux, dénichez des indices, confrontez-vous aux énigmes et vous résoudrez, peut-être, ces étranges affaires !",978-2367960470,https://m.media-amazon.com/images/I/71kQFVz8nAL._SY522_.jpg,Makaka Editions; Illustrated édition (24 juillet 2020),Boutanox,Comics
