Nom,Description,Photo
Jean Lopez,"Directeur de la rédaction de Guerres & Histoire et du Mook De la guerre, Jean Lopez s'est signalé par une série d'ouvrages revisitant le front germano-soviétique.
Il est l'auteur de nombreux ouvrages dont, chez Perrin, une biographie de Joukov (avec Lasha Otkhmezuri), Les Mythes de la Seconde Guerre mondiale et Les Grandes Erreurs de la Seconde Guerre mondiale (avec Olivier Wieviorka), Les Maréchaux de Staline (avec Lasha Otkhmezuri) et, en 2023, les très remarqués Conduire la guerre. Entretiens sur l'art opératif (avec Benoist Bihan) et L'ours et le Renard. Histoire immédiate de la guerre en Ukraine (avec Michel Goya).
Directeur de la collection "" Champs de bataille "" (Perrin-ministère des Armées), il en a rédigé le premier opus, Kharkov 1942.",
Jean-François Colosimo,"Essayiste, documentariste et éditeur, Jean-François Colosimo est l'auteur d'une oeuvre remarquée sur la relation entre religions et géopolitique dont La Crucifixion de l'Ukraine. Mille ans de guerres de religion en Europe (Albin Michel, 2022 ; réédition dans la collection « espaces libres », 2024). Il a également publié Turquie, nation impossible (Arte, 2019) et Le sabre et le turban (Cerf, 2020) ainsi que L'Apocalypse russe (Fayard 2008, Lexio-poche 2021).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,,
Nathalie Mazier,"Née en 1989, Anaïs Gletty raconte ce drame qui l'a anéantie à l'âge de 22 ans. Elle retrace l'enquête et ses incompréhensions lorsqu'elle découvre l'identité de la coupable. Elle raconte la haine, le désarroi, la profonde tristesse de ces années difficiles. Le procès, insatisfaisant et son obsession : rencontrer la meurtrière. D'abord les lettres, puis les entretiens de justice restaurative...
À travers ce livre, Anaïs Gletty, s'interroge sur la vie après le drame et se questionne sur la place de chacun après la prison. A-t-on le droit à une seconde chance ?

Née en 1984, Nathalie Mazier est journaliste, spécialisée dans les affaires criminelles. Elle a réalisé de nombreux reportages, notamment pour l'émission "" Au bout de l'enquête "", diffusée sur France 2.",
Christophe Clavel,,
Maxime DesGranges,"Lecteur et traducteur au service d'une maison d'édition, chroniqueur
littéraire pour différents médias en ligne, Maxime DesGranges signe
ici son premier livre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frantz Fanon,"Frantz Fanon (1925-1961) né martiniquais, mort algérien à l'âge de 36 ans, psychiatre, militant FLN, il est notamment l'auteur de Peau noire, masques blancs, Sociologie d'une révolution (L'an V de la révolution algérienne) et Les damnés de la terre.


Alice Cherki, psychiatre et pyschanalyste, est l'auteur du Portrait de Frantz Fanon (Seuil, 2000).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
L'humaniste Nicolas Machiavel,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v4srf1ffldq61h2ci2pglg3hlf._SY600_.jpg
Christine Kelly,"Journaliste, Christine Kelly a travaillé neuf ans à LCI. Aujourd'hui, elle anime l'émission quotidienne Face à l'info sur CNews et collabore au JDD. Elle fut le plus jeune membre du Conseil supérieur de l'audiovisuel, de 2009 à 2015.",
Alain Bauer,"Alain Bauer est professeur de criminologie au Conservatoire National des Arts et Métiers, New York et Shanghai. Il est responsable du pôle sécurité défense - renseignement criminologie cybermenaces et crises. Il a publié une soixantaine d'ouvrages sur les questions de sécurité, criminelles et de terrorisme.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jacques Baud,"Jacques Baud est Colonel chef d'état-major, ex-agent des services secrets suisses et expert en armes chimiques et nucléaires. Il a été, entre autres, chef de la doctrine des opérations de maintien de la paix des Nations Unies à New York. Il est l'auteur de plusieurs livres sur le renseignement, la guerre et le terrorisme, dont les best-sellers Gouverner par les fake news, Poutine, le maitre du jeu ? , opération Z, Ukraine entre guerre et paix et L'art de la guerre russe, édités aux éditions Max Milo.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Evelyne Berdagué-Boutet,évelyne Berdagué-Boutet est cadre de santé et formatrice auprès des étudiants en soins infirmiers et d'élèves aides-soignantes.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Pascal Boniface,"""Le format BD se prête parfaitement à cet exercice d'analyse destiné à faire comprendre le monde d'aujourd'hui, avec simplicité et un trait d'humour."" La Montagne Clermont Métropole
""Avec Géostratégix, Pascal Boniface et Tommy, l'air de rien, viennent d'inventer la rigueur souriante."" TV5Monde.com",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
McSkyz,"Passionné de true-crime, McSkyz partage depuis quelques années maintenant ses récits d'affaires criminelles sur sa chaîne Youtube réunissant plus d'1,5 million d'abonnés.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Didier Castres,,
Jacques Baud,"Jacques Baud a été membre du renseignement stratégique suisse, spécialiste des pays de l'Est et ancien chef de la doctrine des opérations de maintien de la paix des Nations unies. Durant la guerre froide, il a travaillé sur l'art militaire soviétique et la guerre en Afghanistan. Au sein de l'OTAN, il a participé à des programmes en Ukraine, notamment après la révolution de Maïdan de 2014. En plus de ses ouvrages majeurs sur le conflit en Ukraine, il est l'auteur de plusieurs livres sur le renseignement, la guerre et le terrorisme, dont Gouverner par les fake news, Vaincre le terrorisme djihadiste et L'Affaire Navalny, tous parus aux éditions Max Milo.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Véronique Béchu,"Entrée dans la police 2002 après des études de droit pénal et de sciences criminelles, la Commandante Véronique Béchu choisit la lutte contre les violences faites aux mineurs dès le début de sa carrière. Depuis septembre 2023, elle est la cheffe du pôle stratégie de l’Office mineurs (OFMIN). Elle est la représentante de la France en matière de lutte contre l’exploitation sexuelle des mineurs auprès des instances internationales.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christian Gerondeau,Ingénieur en chef des Ponts et chaussées. Expert international pour les transports et la sécurité routière. Ancien Président de la Caisse nationale des Monuments et des Sites.,
Leslie Varenne,"Leslie Varenne a été journaliste d'investigation pendant 20 ans. Spécialiste reconnue de l'Afrique, elle est l'auteur de Abobo-la-guerre, Côte d'Ivoire terrain de jeu de la France et de l'ONU aux éditions Fayard en 2012.",
Hubert Védrine,"Hubert Védrine a été successivement conseiller diplomatique, porte-parole et secrétaire général de l'Élysée durant le premier septennat de François Mitterrand. En 1997, il entre au gouvernement de Lionel Jospin comme ministre des Affaires étrangères. En 2003, il devient président de l'Institut François-Mitterrand et mène aujourd'hui des activités de conseil. Il est l'auteur d'une vingtaine d'ouvrages essentiellement consacrés à la politique internationale, à la place et au rôle que la France tient dans le monde global. Paru en 2021, son Dictionnaire amoureux de la géopolitique a connu un vif succès.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Srdja Popovic,"Voici le livre des révolutions possibles. Il s’appuie sur une expérience acquise dans près de cinquante pays aussi bien que sur les enseignements de Gandhi et du stratège Gene Sharp. Il prend la voix exceptionnelle de Srdja Popovic, apôtre de la lutte non violente, qui fit tomber Milosevic, fut de toutes les « révolutions fleuries » (Géorgie, Liban, Ukraine, etc.), et a été considéré comme « l’architecte secret » du printemps arabe. Popovic nous fait entrer dans les coulisses des événements historiques du xxie siècle. Il raconte ce qui marche et comment ça marche. Il explique aussi pourquoi cela échoue parfois, comme en Ukraine ou en Chine. Son livre réconcilie avec l’action politique et montre combien il est crucial, non seulement d’aller au bout des choses, mais aussi d’avoir une vision claire de ce qu’on fera de la liberté.



Srdja Popovic, fondateur du mouvement Otpor!, dirige le Centre for Applied Non Violent Action and Strategies (Canvas) et enseigne depuis 2013 l’activisme politique non violent à la New York University.",
Zbigniew Brzezinski,,https://m.media-amazon.com/images/I/31CT9pJJ1nL._SY600_.jpg
Samuel P. Huntington,"Un pavé dans la mare. Les propos de Samuel Huntington ont souvent été controversés, critiqués : il est vrai que son interprétation de l'évolution de la politique mondiale et des relations internationales est percutante.
Les chocs entre civilisations représentent la principale menace pour la paix dans le monde, mais ils sont aussi, au sein d'un ordre international désormais fondé sur les civilisations, le garde-fou le plus sûr contre une guerre mondiale.
D'après l'auteur, la géopolitique mondiale ne se lit plus dans l'opposition idéologique - comme ce fut le cas entre les deux blocs de la guerre froide -, mais dans des conflits et des oppositions entre grandes civilisations, regroupées par affinités culturelles.
Les mots peuvent choquer : l'auteur questionne le possible déclin de l'Occident face à la montée en puissance économique et démographique des pays d'Asie (Chine et Inde) et face à l'islam. Mais le raisonnement se fait plus profond, plus convaincant : la mondialisation n'entraîne pas une uniformisation des civilisations, mais renforce des pôles majeurs, suscite des nouvelles concurrences, alliances et oppositions. Il propose à un public averti un cadre général à la compréhension de la politique globale à l'aube du XXIe siècle. --Mattieu Reno",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
