Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Lore Olympus: Volume Six,16.64,"NEW YORK TIMES BESTSELLER • Witness what the gods do after dark in the sixth volume of a stylish and contemporary reimagining of one of the best-known stories in Greek mythology, featuring exclusive behind-the-scenes content from creator Rachel Smythe.

“We have to make an example of her.”

Chaos reigns in Olympus as Zeus publicly declares Persephone a traitor and issues a warrant for her arrest. But Hades defies his brother’s decree, sheltering Persephone in the Underworld—and as the pair spend more time together, they are able to speak openly about their pasts. The goddess of spring admits the truth behind the bloody secret that led to Zeus’s ire, and the king of the Underworld shares the trauma he suffered at the hands of his power-hungry father, Kronos.

But as Hades and Persephone’s relationship grows stronger, others begin to fall apart. The bond between Hades and Zeus is stretched to its limit, threatening to fracture the peace between their realms. Persephone and Artemis’s friendship hangs by a thread as the goddess of the hunt slowly uncovers the vile truth about her twin, Apollo. A line is being drawn in the heavens, putting everyone’s loyalties into question as all the gods are forced to choose sides.

And as the cracks in the foundation of the pantheon spread, something darker and more earth-shattering might soon be released. . . .

This edition of Smythe’s original Eisner Award–winning webcomic",978-0593599082,https://m.media-amazon.com/images/I/91OHzZXz7kL._SY522_.jpg,Inklore (7 mai 2024),Rachel Smythe,Romans graphiques
L&#39Arabe du futur - Tome 1,22.9,"L&#39Arabe du futur, une jeunesse au Moyen-Orient (1978-2011) est une série de bande dessinée en six tomes, écrite et dessinée par Riad Sattouf.
Vendue à plus de 3 millions d&#39exemplaires et traduite en 23 langues, elle raconte l&#39enfance et l&#39adolescence de l&#39auteur, fils aîné d&#39une mère française et d&#39un père syrien. L&#39histoire nous mène de la Libye du colonel Kadhafi à la Syrie d&#39Hafez Al-Assad en passant par la Bretagne, de Rennes au cap Fréhel.
Ce premier tome couvre les années 1978-1984.",978-2370730145,https://m.media-amazon.com/images/I/61C9YmrCHwL._SY522_.jpg,Allary; Illustrated édition (7 mai 2014),Riad Sattouf,Romans graphiques
Le Rapport de Brodeck - Tome 2 - L&#39Indicible,16.59,"Manu Larcenet se confronte à une adaptation, celle du chef-d&#39oeuvre de Philippe Claudel, Le Rapport de Brodeck. Mais lorsque l&#39auteur de Blast et du Combat ordinaire s&#39empare du texte, c&#39est pour le faire sien, et lui donner une nouvelle vie éclatante, sombre et tragique. Des pages d&#39une beauté stupéfiante, magnifiant la nature sauvage et la confrontant à la petitesse des hommes, une plongée dans les abîmes, servie par un noir et blanc sublime et violent. Un très grand livre.",978-2205075403,https://m.media-amazon.com/images/I/91AEGz3KfhL._SY522_.jpg,DARGAUD; Illustrated édition (17 juin 2016),Larcenet Manu,Romans graphiques
L&#39Oasis,10.73,"Quelque part entre les ""Souvenirs entomologiques"" de Jean-Henri Fabre et l&#39émission « Silence, ça pousse » sur France 5, Simon Hureau raconte par le menu comment il a peu à peu redonné vie à son jardin abandonné à la friche par son ancien propriétaire. Sans connaissances particulières sur le sujet, l&#39auteur, avec beaucoup de recherches, de passion et d&#39huile de coude, parvient à recréer à partir d&#39un no-man&#39s land une véritable oasis de biodiversité, et témoigne ainsi des capacités de résilience de la nature, pour peu qu&#39on lui file un coup de main. Un livre d&#39autodidacte érudit, passionné et passionnant. ""L&#39Oasis"" obtient le prix Région Centre Val de Loire du festival de Blois 2020.",978-2205085808,https://m.media-amazon.com/images/I/91mOa3HOjBL._SY522_.jpg,DARGAUD; Illustrated édition (12 juin 2020),Hureau Simon,Romans graphiques
"Au-Delà Du Brouillard: Moi, Billie, 13 ans, TDAH, non diagnostiquée",19.49,"Un roman graphique autobiographique sur le parcours du combattant d&#39une adolescente, puis jeune adulte, TDAH et non diagnostiquée.

Résumé : Billie n’arrive pas à se concentrer, à fixer son attention.
Son cerveau ne prend pas l’temps de s’arrêter, d’lui laisser vivre les moments, l’instant présent.
Il ne lui laisse aucun répit. Alors forcément, les souvenirs ne s&#39ancrent pas dans sa mémoire, comme ils devraient.
Donc elle oublie. Les gens, les moments. Elle repart de zéro chaque soleil levant.
C&#39est un peu ça, sa vie, des journées dans l’brouillard qui mènent nul part. Tout remettre en question, tout l’temps.
Connaître",979-1041540136,https://m.media-amazon.com/images/I/71v1NmI7xtL._SY522_.jpg,Roman DALOV (1 avril 2024),Roman DALOV,Romans graphiques
Ne m&#39oublie pas,24.5,"La grand-mère de Clémence souffre de la maladie d&#39Alzheimer. Face à son désespoir, elle prend la décision de l&#39enlever de la maison de retraite et de prendre la route en quête de l&#39hypothétique maison d&#39enfance de sa mamie. Une fuite, une quête, un égarement, l&#39occasion de se retrouver ? À moins que ce ne soit plutôt des adieux...",978-2803676231,https://m.media-amazon.com/images/I/61hAHN3YUpL._SY522_.jpg,LOMBARD; Illustrated édition (15 janvier 2021),Garin Alix,Romans graphiques
L&#39Odyssée d&#39Hakim T03: De la Macédoine à la France,24.95,"Après leur sauvetage en mer Méditerranée, Hakim et son fils arrivent sur le territoire européen avec beaucoup d&#39espoir. Pourtant, pour rejoindre la France, le tandem va devoir affronter une nouvelle série d&#39épreuves faite de centres de rétention, de police frontalière et de xénophobie. Leur courage et la solidarité d&#39inconnus providentiels suffiront-ils à leur permettre d&#39atteindre leur destination pour enfin retrouver les leurs ? Suite et fin de la trilogie de L&#39Odyssée d&#39Hakim acclamée par les lecteurs et par la critique qui la décrit comme ""captivante"", ""bouleversante"", ""intelligente"" et même ""salutaire"". Fabien Toulmé raconte l&#39histoire vraie du parcours d&#39un homme, un réfugié, et de sa famille, arrivés jusqu&#39à nous parce que la guerre leur avait tout pris.
Une série lauréate du Prix Franceinfo de la Bande Dessinée d’Actualité et de Reportage.",978-2413023739,https://m.media-amazon.com/images/I/81U4PZ8F1cL._SY522_.jpg,Delcourt; Illustrated édition (3 juin 2020),Fabien Toulmé,Romans graphiques
The Complete Calvin And Hobbes-,13.12,"Join Calvin and Hobbes on all their adventures in this four-volume collection of every comic strip from the comic strip’s eleven year history (1985 to1996).

Calvin and Hobbes is unquestionably one of the most popular comic strips of all time. The imaginative world of a boy and his real-only-to-him tiger was first syndicated in 1985 and appeared in more than 2,400 newspapers when Bill Watterson retired on January 1, 1996. The entire body of Calvin and Hobbes cartoons published in a truly noteworthy tribute to this singular cartoon in The Complete Calvin and Hobbes. Composed of four paperback, four-color volumes in a sturdy slipcase, this New York Times best-selling edition includes all Calvin and Hobbes cartoons that ever appeared in syndication. This is the treasure that all",,https://m.media-amazon.com/images/I/61++y5KoABL._SY522_.jpg,Andrews McMeel Publishing; Reprint édition (13 novembre 2012),Bill Watterson,Romans graphiques
Peau d&#39Homme - Prix Landerneau BD 2020,27.0,"Sans contrefaçon, je suis un garçon !
Dans l’Italie de la Renaissance, Bianca, demoiselle de bonne famille, est en âge de se marier. Ses parents lui trouvent un fiancé à leur goût : Giovanni, un riche marchand, jeune et plaisant. Le mariage semble devoir se dérouler sous les meilleurs auspices même si Bianca ne peut cacher sa déception de devoir épouser un homme dont elle ignore tout. Mais c’était sans connaître le secret détenu et légué par les femmes de sa famille depuis des générations : une « peau d’homme » ! En la revêtant, Bianca devient Lorenzo et bénéficie de tous les attributs d’un jeune homme à la beauté stupéfiante. Elle peut désormais visiter incognito le monde des hommes et apprendre à connaître son fiancé dans son milieu naturel. Mais dans sa peau d’homme, Bianca s&#39affranchit des limites imposées aux femmes et découvre l&#39amour et la sexualité.",978-2344010648,https://m.media-amazon.com/images/I/81xqPqCW4EL._SY522_.jpg,Glénat BD; Illustrated édition (3 juin 2020),Hubert,Romans graphiques
"Moi, ce que j&#39aime, c&#39est les monstres: Livre premier",34.9,"Chicago, fin des années 1960. Karen Reyes, dix ans, adore les fantômes, les vampires et autres morts-vivants. Elle s&#39imagine même être un loup-garou: plus facile, ici, d&#39être un monstre que d&#39être une femme. Le jour de la Saint-Valentin, sa voisine, la belle Anka Silverberg, se suicide d&#39une balle dans le coeur. Mais Karen n&#39y croit pas et décide d&#39élucider ce mystère. Elle va vite découvrir qu&#39entre le passé d&#39Anka dans l&#39Allemagne nazie, son propre quartier prêt à s&#39embraser et les secrets tapis dans l&#39ombre de son quotidien, les monstres, bons ou mauvais, sont des êtres comme les autres, ambigus, torturés et fascinants. Journal intime d&#39une artiste prodige, Moi, ce que j&#39aime, c&#39est les monstres est un kaléidoscope brillant d&#39énergie et d&#39émotions, l&#39histoire magnifiquement contée d&#39une fascinante enfant. Dans cette oeuvre magistrale, tout à la fois enquête, drame familial et témoignage historique, Emil Ferris tisse un lien infiniment personnel entre un expressionnisme féroce, les hachures d&#39un Crumb et l&#39univers de Maurice Sendak.

En 2002, Emil Ferris (née en 1962 à Chicago), mère célibataire et illustratrice, gagne sa vie en dessinant des jouets et en participant à la production de films d&#39animations. Lors de la fête de son quarantième anniversaire avec des amis, elle se fait piquer par un moustique et ne reprendra ses esprits que trois semaines plus tard, à l&#39hôpital. On lui a diagnostiqué une méningo-encéphalite : elle est frappée par l&#39une des formes les plus graves du syndrome du Nil occidental. Les médecins lui annoncent qu&#39elle ne pourra sans doute plus jamais marcher. Pire encore, sa main droite, celle qui lui permet de dessiner, n&#39est plus capable de tenir un stylo.
Alors qu&#39elle ne se voit plus aucun avenir, les femmes fortes à ses côtés l&#39encouragent – la thérapeute en charge de sa rééducation, ses amies et sa fille –, et Emil décide de se battre. Elle va jusqu&#39à scotcher un stylo à sa main pour dessiner, ce qui lui prend un temps fou… mais à force de persévérance, elle s&#39améliore. Emil décide de prendre un nouveau départ et s&#39inscrit au Chicago Art Institute, dont elle sortira, avec son diplôme, d&#39un pas déterminé. C&#39est à cette époque qu&#39elle commence l&#39écriture de son roman graphique. Elle mettra six ans à réaliser cette oeuvre de 800 pages. Après 48 refus, l&#39éditeur indépendant Fantagraphics accepte le manuscrit.
Suite à quelques rocambolesques problèmes de livraison, le premier tome de Moi, ce que j&#39aime, c&#39est les monstres paraît en février 2017. Du jour au lendemain, Emil Ferris est propulsée parmi les « monstres » sacrés de la bande dessinée. Tandis que les réimpressions s&#39enchaînent, c&#39est unanime : il s&#39agit d&#39une oeuvre d&#39exception.",979-1090724471,https://m.media-amazon.com/images/I/81FTX+8FddL._SY522_.jpg,Monsieur Toussaint Louverture; Illustrated édition (23 août 2018),Emil Ferris,Romans graphiques
