Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Aquablue T18: Stromboli Reloaded,14.16,"Impuissants face à un Rabah amorphe, privé de ses capacités cognitives depuis le précédent cycle, Nao et Carlo repartent découragés. Ils sont alors capturés par le pirate Ragnar qui leur propose un deal. Si Nao l&#39autorise à installer une base secrète sur Aquablue, le forban mettra à leur disposition le très controversé professeur Zenfeld, seul capable de ramener leur ami à la pleine conscience...",978-2413043775,https://m.media-amazon.com/images/I/81dLwvr0FcL._SY522_.jpg,Delcourt; Illustrated édition (17 avril 2024),Stéphane Louis,Science-Fiction
"Avatar, le dernier maître de l&#39air Tome 4 - Fumée et ombre",11.51,"Zuko et Mai se plongent dans l’histoire de la Nation du Feu pour percer un jour le mystère d’un conte pour enfants devenu réalité : « Les Kemurikage » !

Peu après son retour chez lui, suite aux événements qui se sont déroulés dans l’album précédemment publié et intitulé La Recherche, le seigneur du Feu Zuko découvre qu’une organisation rebelle se faisant appeler la confrérie des la Nouvelle Ozai a, lentement mais sûrement, gagné du terrain parmi les citoyens de la Nation du Feu. Ses objectifs ? Assassiner Zuko et remettre Ozai sur le trône, avant que le pays ne sombre dans la déchéance ! L’apparition des Kemurikage, personnages de légende dont l’histoire raconte qu’ils enlèvent des enfants à travers toute la Nation du Feu, prouve bien que la Nation est en péril. Alors que la peur s’installe dans la capitale, Zuko, Mai et leurs familles se retrouvent mêlés à un dangereux complot mené par un mystérieux inconnu.",978-2017168799,https://m.media-amazon.com/images/I/81sQMfqcyAL._SY522_.jpg,Hachette Comics; Illustrated édition (15 février 2023),Nickelodeon,Science-Fiction
Invincible - Intégrale T01,29.95,"Mark Grayson est un lycéen normal, avec un job à temps partiel normal. Dans sa banlieue américaine banale, rien d&#39exceptionnel n&#39arrive jamais jusqu&#39à ce qu&#39il fasse usage de ses nouveaux... super-pouvoirs ? ! Le temps des révélations s&#39ouvre alors pour lui ! Il découvre que son père, Nolan, est le surpuissant super-héros Omni-Man, un extra-terrestre de la race des Vitrumites. Il va devoir être digne de cet héritage inattendu et assumer ses nouvelles responsabilités...",978-2413036906,https://m.media-amazon.com/images/I/81BY5d2pfFL._SY522_.jpg,Delcourt; Illustrated édition (1 juillet 2020),Robert Kirkman,Science-Fiction
Scotland - Épisode 3,13.0,"Revenue sur les terres écossaises, Kathy découvre que la maison léguée par une tante a été incendiée. Elle essaie de comprendre l&#39origine de cet incendie et comprend peu à peu que cet événement serait lié à d&#39autres faits étranges qui se produisent dans la région, certains pouvant avoir une origine extra-terrestre. Alerté, le MI6 lui demande alors d&#39enquêter sur la présence d&#39espions russes présents sur ce territoire perdu... Dans le même temps Kathy est confrontée à des souvenirs personnels sur ce territoire perdu où elle a vécu....",978-2205208405,https://m.media-amazon.com/images/I/91sXDIwf+OL._SY522_.jpg,DARGAUD; Illustrated édition (26 janvier 2024),Leo,Science-Fiction
Invincible - Intégrale T08,29.95,"Au lendemain de la guerre contre les Viltrumites, certains amis deviennent des ennemis et d&#39anciens ennemis deviennent des alliés. Cependant, le rôle de Mark Grayson en tant qu&#39Invincible risque bien de prendre fin ici !",978-2413045557,https://m.media-amazon.com/images/I/810ooc4M5KL._SY522_.jpg,Delcourt; Illustrated édition (23 novembre 2022),Ryan Ottley,Science-Fiction
Frontier,23.9,"Quand la Terre suffoque de par l&#39exploitation de ses dernières ressources, l&#39humanité se tourne vers un nouveau territoire, l&#39espace, au-delà des planètes du système solaire : « La Frontière ». Dans cette nouvelle ruée vers l&#39or, trois destinées s&#39entremêlent : Ji-soo, scientifique passionnée par l&#39inconnu ; Camina, mercenaire fougueuse et enjouée ; et Alex, un mineur qui n&#39a jamais connu la Terre. Ce récit d&#39aventure narre le parcours tumultueux de ce trio, mais aussi de leur quotidien, celui de vivre dans un nouveau monde. Il pose la question d&#39une nouvelle humanité complètement déconnectée de son berceau, la Terre, pour se tourner uniquement vers les étoiles.",978-2810203161,https://m.media-amazon.com/images/I/71OpdkxxqzL._SY522_.jpg,RUE DE SEVRES; Illustrated édition (12 avril 2023),Guillaume Singelin,Science-Fiction
Invincible - Intégrale T03,18.39,"Ce 3e recueil reprend les albums 5 & 6 de la série classique. Mark Grayson y poursuit son expérience en tant que super-héros. Retrouvez Invincible opposé au méchant Angstrom Levy, ses retrouvailles avec son père séparé et la bataille sanglante avec les Viltrumites.",978-2413036920,https://m.media-amazon.com/images/I/81JehMf8OfL._SY522_.jpg,Delcourt; Illustrated édition (5 mai 2021),Robert Kirkman,Science-Fiction
The History of EC Comics,14.64,"En 1947, Bill Gaines hérite d’EC Comics, une nouvelle entreprise fondée par son père, le légendaire M. C. Gaines. Ce dernier a donné naissance aux comic books tels que nous les connaissons aujourd’hui, alors qu’il oeuvrait à All-American Comics, offrant au monde des personnages comme Wonder Woman et Green Lantern. Au cours des huit années suivantes, avec le gratin de l’époque, dont Al Feldstein, Harvey Kurtzman et Wally Wood, ils vont réinventer le concept même de comic book à travers des titres comme Tales from the Crypt, Crime SuspensStories, Weird Science et MAD.

EC a une prédilection pour les comics d&#39horreur, policiers, sanglants et morbides à la conclusion ironique et cinglante, mais la maison est aussi la première à publier des comics de guerre réalistes",978-3836549769,https://m.media-amazon.com/images/I/91-oGEZETNL._SY522_.jpg,EVERGREEN; Illustrated édition (7 août 2020),Grant Geissman,Science-Fiction
Namibia - Tome 0 - Namibia - Intégrale complète,10.04,"Voici enfin l&#39édition intégrale qui rassemble les 5 épisodes de ""Namibia"". Attention : tirage limité !",978-2205077704,https://m.media-amazon.com/images/I/81tNffE4ewL._SY522_.jpg,DARGAUD; Illustrated édition (23 février 2018),Leo,Science-Fiction
Invincible - Intégrale T04,29.95,"De super-héros débutant, Invincible devient un super-héros établi ! Ce volume rassemble la violente bataille d&#39Invincible avec les Reanimen, la tentative d&#39invasion des créatures venues de Mars et l&#39introduction de l&#39agent Viltrumite, Anissa.",978-2413041924,https://m.media-amazon.com/images/I/81TgpUZ4-tL._SY522_.jpg,Delcourt; Illustrated édition (22 septembre 2021),Robert Kirkman,Science-Fiction
Goldorak,24.9,"La guerre entre les forces de Véga et Goldorak est un lointain souvenir. Actarus et sa soeur sont repartis sur Euphor tandis qu&#39Alcor et Vénusia tentent de mener une vie normale. Mais, des confins de l&#39espace, surgit le plus puissant des golgoths : l&#39Hydragon. Alors que le monstre de l&#39ultime Division Ruine écrase les armées terriennes, les exigences des derniers représentants de Véga sidèrent la planète : sous peine d&#39annihilation totale, tous les habitants du Japon ont sept jours pour quitter leur pays et laisser les envahisseurs coloniser l&#39archipel. Face à cet ultimatum, il ne reste qu&#39un dernier espoir... Goldorak.",978-2505078463,https://m.media-amazon.com/images/I/81HCibtdT4L._SY522_.jpg,KANA; Illustrated édition (15 octobre 2021),Dorison Xavier,Science-Fiction
Outlaws - Tome 2 - Les Rivages de Midaluss,15.5,"Espace confédéré. Année 2779. Kristina, jeune clandestine humaine obligée de travailler pour les passeurs galactiques qui l&#39ont fait voyager illégalement, va devoir apprendre à survivre sur une planète inconnue. Et à se faire sa place.

Planète Drenn. Midaluss, immense cité balnéaire où quartiers riches et bidonvilles aliens coexistent, non sans difficultés. La violence peut éclater à chaque instant, sans prévenir. C&#39est là que Kristina et son nouveau compagnon de route, Zachary, ont décidé de se lancer dans une carrière de voleurs de véhicules de luxe.

Mais alors qu&#39ils doivent faire face à une compétition féroce avec d&#39autres gangs, les événements de Kessmo, lié au Clan des Cimes, ne vont pas tarder à les rattraper. Et le sang, alien comme humain, risque de couler à nouveau.",979-1034767120,https://m.media-amazon.com/images/I/71uLLGM7LoL._SY522_.jpg,DUPUIS; Illustrated édition (24 mai 2024),Runberg Sylvain,Science-Fiction
L INCAL INTEGRALE,74.99,"Les tribulations du minable détective John Difool, lancé à la recherche du précieux et convoité Incal. Le chef d&#39oeuvre de Moebius et Jodorowsky. Une oeuvre violente, drôle, sexy, philosophique sublimée par le graphisme renversant de Moebius. Dans un futur lointain, une autre galaxie ou un autre espace temps, l&#39Incal et l&#39immense pouvoir qu&#39il confère exacerbent toutes les convoitises. John Difool, minable détective de classe R adepte d&#39homéoputes et de bon ouisky se retrouve embarqué malgré lui dans cette course à l&#39Incal. Il aura affaire à des mouettes qui parlent, des extraterrestres idiots, un empire dictatorial ultra violent, des rats de 15 mètres commandés par une déesse nue, une bataille mémorable dans une fourmilière, une secte adepte des trous noirs, et enfin une bataille intersidérale entre le bien et le mal.",978-2731674040,https://m.media-amazon.com/images/I/71-nbtv8SNL._SY522_.jpg,Les Humanoïdes Associés; Illustrated édition (12 juin 2019),Alejandro Jodorowsky,Science-Fiction
Invincible - Intégrale T05,16.95,"Après avoir pris la suite de son père comme agent infiltré chez les humains, Invincible doit faire face au flot de questions posées par Allen, l&#39alien revenu spécifiquement pour lui soutirer des informations. Les Viltrumites débarquent également sur Terre pour constater ses progrès...",978-2413045526,https://m.media-amazon.com/images/I/813a0Q-R9xL._SY522_.jpg,Delcourt; Illustrated édition (16 février 2022),Robert Kirkman,Science-Fiction
Métal Hurlant N°10: La mécanique du grain de sable,19.95,"Tout commence un matin, dans la normalité rassurante de notre quotidien. Comme venue de nulle-part, une anomalie surgit soudain. Elle semble anodine et sans la moindre importance, mais elle va faire basculer notre existence dans une autre réalité, nous plongeant parfois dans le fantastique, parfois dans la science-fiction ou même quelquefois dans l&#39horreur. Plus rien de ce qui nous entoure n’aura encore la même signification.",978-2731654707,https://m.media-amazon.com/images/I/81EKn6cWPgL._SY522_.jpg,Les Humanoïdes Associés (21 février 2024),Eliot,Science-Fiction
Invincible - Intégrale T02,11.2,"Après avoir découvert que son père s&#39avère être le super-héros Omni-Man, Mark se retrouve à ramasser les morceaux de sa vie. Plus rien ne sera pareil, ni pour lui, ni sa famille, sans compter ses amis. Il va devoir lutter pour devenir un homme, pour s&#39en sortir seul et vivre sa propre vie. Personne ne lui avait dit que devenir un super-héros serait aussi difficile.",978-2413036913,https://m.media-amazon.com/images/I/81wK9XJmDiL._SY522_.jpg,Delcourt; Illustrated édition (13 janvier 2021),Robert Kirkman,Science-Fiction
Invincible - Intégrale T06,13.76,"La guerre mettant en scène TOUS les Invincibles, déclenchée par Angstrom Levy ! La bataille épique avec Conquest ! La dernière étape de la guerre de Viltrumite ! L&#39invasion des calmars sur Terre ! Tout cela figure dans ce 6e volume qui est probablement le plus explosif et le plus bourré d&#39action à ce jour !! Et c&#39en est presque trop difficile à gérer pour un seul super-héros !!",978-2413045533,https://m.media-amazon.com/images/I/81KP35n9FjL._SY522_.jpg,Delcourt; Illustrated édition (27 avril 2022),Ryan Ottley,Science-Fiction
