Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Vous êtes Elon Musk: Un livre dont vous êtes le héros,14.98,,978-1698872889,https://m.media-amazon.com/images/I/613Tskf2kyL._SY522_.jpg,Independently published (10 octobre 2019),Steve Rioux
Le nom sur le mur,19.8,,978-2073061539,https://m.media-amazon.com/images/I/71Xrq-ZOOxL._SY522_.jpg,GALLIMARD; Illustrated édition (18 avril 2024),Hervé Le Tellier
Un enfant sans ombre,13.02,,979-8547546846,https://m.media-amazon.com/images/I/71Z1h-GFbWL._SY522_.jpg,Independently published (1 août 2021),Prof. Shaul Harel
... mais la vie continue,7.7,,978-2253107378,https://m.media-amazon.com/images/I/712G4TWkQNL._SY522_.jpg,Le Livre de Poche (6 avril 2022),Bernard Pivot
Mes guerres: Confidences d'une grand reporter,23.0,,979-1032930267,https://m.media-amazon.com/images/I/51Xlf1zFFpL._SY522_.jpg,L'OBSERVATOIRE; Illustrated édition (17 avril 2024),Marine Jacquemin
La Lignée,21.9,,978-2213720562,https://m.media-amazon.com/images/I/81J6qmry5TL._SY522_.jpg,Fayard; 1er édition (28 février 2024),Aurélie Valognes
Marion et les crocodiles d'Amstrad: L'histoire d'Amstrad France,9.79,,979-8884534582,https://m.media-amazon.com/images/I/71UU0qm4bWL._SY522_.jpg,Independently published (27 avril 2024),David Hecq
CIEL DE TRAINE,7.49,,979-8326062529,https://m.media-amazon.com/images/I/51h8QCaWGmL._SY522_.jpg,Independently published (19 mai 2024),EDOUARD MAITRE
"Tout ce que je voulais, c'était courir",20.0,,978-2080439482,https://m.media-amazon.com/images/I/71FWn0S9SiL._SY522_.jpg,FLAMMARION (3 avril 2024),Anaïs Quemener
Résilience: Ce qui ne me tue pas...,14.94,,979-8326109385,https://m.media-amazon.com/images/I/71ClpMMsMhL._SY522_.jpg,Independently published (28 mai 2024),Delphine Rougeot
La petite fille qui peignait sur les pianos,12.9,,979-8882528927,https://m.media-amazon.com/images/I/71iwHAP3L8L._SY522_.jpg,Independently published (23 janvier 2020),François Le Tertre
SAHARA,5.8,,978-2367060255,https://m.media-amazon.com/images/I/81s2wFbpNSS._SY522_.jpg,BOOKS ON DEMAND (23 avril 2021),Cizia Zykë
