Nom,Description,Photo
Leloup,"Né le 17 novembre 1933 à Verviers, Roger Leloup a connu une enfance protégée malgré l'actualité troublée. Parmi ses passions, la bande dessinée, l'aviation et les transports ferroviaires dont il pouvait quotidiennement admirer des exemples à taille réelle dans l'importante gare de tri proche. De nos jours, il doit se contenter de locomotives et wagons miniaturisés, circulant sur le vaste circuit qu'il a établi à l'étage de sa maison réservé à son atelier. Il étudie l'art décoratif et la publicité à l'Institut Saint-Luc de Liège. Un voisin dessinateur, Jacques Martin, vient régulièrement acheter sa brillantine au salon de coiffure des parents du jeune homme. En 1950, le volubile visiteur mentionne qu'il cherche un assistant pour la période de vacances. À défaut d'en connaître un, Leloup se propose pour réaliser ses coloriages. C'est ainsi qu'il commence à travailler sur les histoires d'""Alix"" dans ""L'Île maudite"". La commande passée à Hergé de chromos techniques pour la série ""Voir et savoir"" va le lancer dans ses premiers essais professionnels de dessins pour ""L'Histoire de l'Aviation"" et celle de l'automobile où Jacques Martin est engagé pour diriger la partie technique. Leloup fignole au crayon les engins que le dessinateur repasse à l'encre avant que le maître d'oeuvre y ajoute le personnage de ""Tintin"" en costume de circonstance. Hergé juge rapidement plus pratique de regrouper à Bruxelles ses petites mains. Le 15 février 1953, Leloup entre au studio Hergé où il travaillera sur les décors d'Alix de ""La Griffe noire"" jusqu'à la première case d'""Iorix le Grand"". Hergé lui réclame surtout des dessins techniques ou de décoration très précise, comme la gare de Genève-Cointrin dans ""L'Affaire Tournesol"", la chaise roulante du capitaine Haddock dans ""Les Bijoux de la Castafiore"", des autos, des motos, des chars, la conception de l'avion de Carreidas et de tous ceux de la nouvelle version de ""L'Île noire"", des chroniques sur le modélisme, etc. Quinze ans de ce régime lui donnent envie de lancer sa propre série. Il rencontre Peyo et dessine quelques Schtroumpfs d'essai, mais son style le dirige plus vers l'aventure et le réalisme. Il assiste alors Francis sur un épisode de ""Jacky et Célestin"" et envisage un nouveau scénario pour ceux-ci, qu'il retravaillera ultérieurement pour une histoire de Yoko, ""L'araignée qui volait"". Durant la soirée de Noël 1968, il esquisse en effet pour la première fois une jeune héroïne asiatique qu'il voudrait introduire dans une éventuelle reprise de ""Jacky et Célestin"". Le projet tombe à l'eau et il décide de la développer avec deux faire-valoir masculins, Vic et Pol, pour remplacer le duo initial Jacky et Célestin. À la veille de Noël 1969, l'éditeur donne son feu vert et ""Yoko Tsuno"" entame sa carrière dans SPIROU le 24 septembre 1970. Le 31 décembre 1969, Leloup quitte le studio Hergé pour se consacrer entièrement au développement de la série et, depuis, Yoko n'a plus guère quitté son coeur et son esprit. Il en parle comme si elle vivait constamment à ses côtés et a composé un roman pour évoquer sa jeunesse (""L'écume de l'aube"", publié en 1991 dans la collection ""Travelling"" des Éditions Duculot, reprise par la suite par Casterman). Peu auparavant, Roger Leloup s'était essayé à un premier roman de science-fiction (""Le Pic des ténèbres"", également dans ""Travelling"") où apparaît une fort jolie androïde, la très efficace Tyo. Le très convoité Grand Prix de la Jeunesse SF lui sera attribué en 1990. Roger Leloup est vraiment un auteur complet, aussi doué dans l'écriture que le dessin. À ses débuts, rendu méfiant par l'expérience, Charles Dupuis l'avait prié de solliciter l'aide de Tillieux pour ses scénarios et dialogues. Après avoir vu deux courtes histoires complètes proposées par son solliciteur et où il n'avait pu placer qu'un bon mot ici ou là, par pure courtoisie, le maître scénariste avait jugé sa supervision totalement superflue. Leloup est un pur élève perfectionniste de l'école Hergé et il prend le temps de remettre cent fois sur le chantier ses découpages, ne développant une de ses nombreuses idées de réserve qu'une fois totalement mûre à ses yeux.",
Mathilda PB,,
Mr Tan,"Antoine Dole, alias Mr Tan, est scénariste de bandes dessinées.
Auteur prolifique, il a créé de nombreux univers BD pour l'édition (Casterman, Actes Sud, Gallimard, Glénat, Bayard...) et la presse jeunesse (Le Journal de Mickey, Bayard Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle, qu'il a imaginée quand il avait 14 ans. Une héroïne au caractère bien trempé, qui est pour lui l'occasion de porter un regard sur les fantaisies de l'enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage de Mortelle Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d'école.

Diane le Feyer a commencé sa carrière d'illustratrice dans le jeu vidéo en France, puis s'est tournée vers la publicité et le dessin animé au Cartoon Saloon en Irlande et au Canada. Elle a également collaboré avec France 3 et la Rai Uno sur divers dessins animés, avant de se tourner vers l'édition jeunesse en France et à l'étranger. Elle a depuis eu l'occasion de multiplier de prestigieuses collaborations avec Hallmark, Harper and Collins, Mattel, Simon and Shuster, Scholastic, Igloo Books, Five Mile, Sophia Institute... Elle infuse sa passion de l'Espace et de la Fantasy dans ses illustrations, dans lesquelles elle donne libre cours à son imagination colorée, portée par la culture pop. Elle est publiée aux États-Unis, au Royaume-Uni, en Europe et en Australie. Elle intervient également à l'École Emile Cohl à Lyon, dont elle est sortie diplômée en 2002, où elle transmet aujourd'hui sa passion du dessin aux futures générations d'artistes.",https://m.media-amazon.com/images/S/amzn-author-media-prod/m1cn6vefkt8dt6tvr90fjm34fb._SY600_.jpg
Mr Tan,"Antoine Dole, alias Mr Tan, est scénariste de bande dessinée. Auteur prolifique, il a créé de nombreux univers BD pour l'édition (chez Bayard, Actes Sud, Casterman, Gallimard BD, Glénat...) et la presse jeunesse (« Le Journal de Mickey », Bayard Presse, Milan Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle. Il a imaginé cette héroïne au caractère bien trempé quand il avait 14 ans. L'occasion pour lui de porter un regard sur les fantaisies de l'enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage d'Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d'école.

Diane Le Feyer a rejoint l'aventure « Mortelle Adèle » en 2014, en devenant la dessinatrice de la série à partir du tome 8 (Miss Prickly étant la dessinatrice des sept premiers tomes de la série). Elle a commencé dans le jeu vidéo et le dessin animé, au Cartoon Saloon, avant de se tourner vers les livres jeunesse en France et à l'étranger. Elle a depuis eu l'occasion de multiplier les collaborations prestigieuses avec Hallmark, HarperCollins, Mattel, Bayard Éditions, Scholastic, Igloo Books, Five Mile...",https://m.media-amazon.com/images/S/amzn-author-media-prod/m1cn6vefkt8dt6tvr90fjm34fb._SY600_.jpg
Erroc,"Scénariste et dessinateur de bandes dessinées.

Dessinateur
Né en 1978 Après des études dans la section BD de l'Ecole Saint-Luc de Liège, Stédo a dessiné chez Bamboo SOS Shobiz et Les Pompiers (18 tomes parus). Il a ensuite repris la série Garage Isidore chez Dupuis, après avoir réalisé quelques pages dans le magazine Spirou. Depuis 2 ans, il est le dessinateur de la série spin-off des Profs : Boulard.

Thierry Laudrain est né le 7 juin 1969. Après une formation à l'école Pivaut de Nantes, il débute dans une agence de packaging à Paris. Pendant dix ans, il fera de l'illustration pour la pub, le packaging, la PLV... Avant de dessiner le premier album de la série La BD des Copines, puis il reprend Calagan après Fane pour le tome 2 et 2 1/2. Avec Monsieur Poulardin (Humour Ajaccien), il reçoit le Prix du Festival d'Ajaccio. Il publie chez Vents d'Ouest Et voici B comme Bricoleur dont il crée les scénarios et les dessins...

Juan vit à Sumène. D'abord animateur et storyboarder de dessin animé, il se lance dans la BD comme assistant de Ptiluc et de Jim, avant de publier sa première série, Paddock, chez Glénat. Il signe ensuite deux albums de la série des Guides (Vent d'Ouest) et Un tour du monde en 4L (Glénat, 2015). En 2016, il rejoint Bamboo pour créer avec Sti deux séries : Mes premières fois et Les Seignors. En 2022, il signe les dessins de Fatal Picards Comics Club scénarisé par les célèbres musiciens.

Ayant très tôt baigné dans la BD, il demande à son père Jean de lui écrire des scénarios, donnant naissance à Polstar. Sa carrière lancée, il publie Spoon & White (chez Dupuis), puis scénarise la série Outre-Tombe (chez Vents d'Ouest), où il instigue également la collection Commedia, l'adaptation de classiques de la littérature en BD.
Plus récemment, il publie Gastoon avec Jean Léturgie et Yann au scénario chez Marsu Productions, avant de rejoindre chez Bamboo la collection Pouss' de Bamboo en adaptant Les 3 petits cochons.",
DUBU(REDICE STUDIO),,
Mathilda PB,,
Ryan Ottley,"Dessinateur de bandes dessinées.

Scénariste de bandes dessinées. Scénariste et producteur.",https://m.media-amazon.com/images/I/31KdZr+hO5L._SY600_.jpg
DUBU(REDICE STUDIO),,
Thomas Boxus,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qrpjbo34khge66u0ttdk0pdiq9._SY600_.jpg
