Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Depardon USA,14.55,"Pour la première fois, Depardon USA rassemble ce corpus américain qui contient de nombreuses photos inédites et qui s'étale sur trois décennies. Cet ouvrage fera également l'objet d'une exposition, cet été, aux Rencontres de la Photographie, à Arles. Une belle et double opportunité de (re)découvrir la relation très forte qu'entretient Raymond Depardon avec les États-Unis.
Porté depuis ses débuts dans la photographie par l'Afrique, Raymond Depardon n'en a pas, pour autant, délaissé le continent nord-américain. C'est en 1968, alors qu'il appartient encore à l'agence Gamma, qu'il effectue son premier grand reportage outre-Atlantique. À Chicago, il couvre à la fois la convention nationale démocrate, qui s'apprête à choisir Hubert Humphrey comme candidat à l'élection présidentielle, et une grande manifestation contre la guerre au Vietnam. Quelques semaines plus tard, il est le seul photographe français à suivre Richard Nixon, candidat conservateur, qui mène campagne avant d'être élu, en novembre de la même année, 37e président des États-Unis. Ce n'est qu'à l'été 1981, pour les besoins du journal Libération que Raymond Depardon retrouve l'Amérique et s'installe temporairement à New York. Il doit, tous les jours et durant un peu plus d'un mois, envoyer une photo et une légende au quotidien français, alors dirigé par Serge July. Ce sera la fameuse Correspondance new-yorkaise qui marque un tournant dans son oeuvre. En 1982, dans la foulée de cette commande qui fera l'objet d'une parution aux éditions des Cahiers du Cinéma, Raymond Depardon sillonne cette fois l'Ouest des États-Unis, du Nouveau-Mexique à la Californie en passant par le Colorado et le Nevada. Il attendra ensuite dix-sept ans avant de se confronter, cette fois dans un nouveau format hauteur et en délaissant momentanément son Leica, aux paysages grandioses du Montana et du Dakota.",978-2365111843,https://m.media-amazon.com/images/I/71WN-grEYqL._SY522_.jpg,Xavier Barral; Illustrated - Bilingual édition (5 juillet 2018),Raymond Depardon
La Légende de Paris Match,18.26,"Paris Match est le témoin privilégié de l'histoire des Français depuis 1949. Inventeur d'un certain style d'information, vif, illustré, proche, il a fait entrer chez nous l'intimité des grands de ce monde.
Ce sont des reportages iconiques, des portraits inoubliables : la conquête de l'Annapurna en 1950 ; le Mondial 1998 ; le couronnement d'Elizabeth II et la mort de Lady Di ; l'arrivée du rock dans les bagages de Johnny ; la plage de la Madrague où pose "" B.B. "" pour les photographes de Match seuls ; et aussi la dernière une du général de Gaulle et le scoop révélant le visage alors inconnu de la fille secrète du président Mitterrand.
Bien plus qu'une rétrospective, voici un hommage vibrant aux grandes signatures et aux valeurs qui ont façonné le magazine pendant plus de sept décennies : le courage, l'audace et, par-dessus tout, la passion.",978-2259317955,https://m.media-amazon.com/images/I/61Ev6qamibL._SY522_.jpg,Plon (25 avril 2024),Patrick Mahé
"En route pour la production d'écrits CM - Policier, fable et art. de presse - 2023 - Cahier élève",11.72,"Le cahier Policier, fable et article de presse de la nouvelle collection pour stimuler l'écriture des élèves de CM et structurer les séances de production d'écrits !

3 projets d'écriture pas à pas autour de 3 types de textes, avec une structure d'apprentissage récurrente en cinq étapes :
La découverte du genre à partir de textes
L'enrichissement du vocabulaire lié au thème
L'entrainement avec des joggings d'écriture
L'écriture guidée, avec une trame pour aider l'élève à aboutir un écrit personnel
Le projet d'écriture final

Des activités décrochées pour s'entrainer, améliorer son style ou jouer avec les mots :",978-2401092471,https://m.media-amazon.com/images/I/71SqA692PKL._SY522_.jpg,Hatier; Illustrated édition (3 mai 2023),Juliette Doberva
Invisible Women: the Sunday Times number one bestseller exposing the gender bias women face every day,16.08,"*THE SUNDAY TIMES NUMBER ONE BESTSELLER*
*OVER A MILLION COPIES SOLD*

Discover the shocking gender bias that affects our everyday lives.

'HELL YES. This is one of those books that has the potential to change things - a monumental piece of research' Caitlin Moran

Imagine a world where...

· Your phone is too big for your hand
· Your doctor prescribes a drug that is wrong for your body",978-1784706289,https://m.media-amazon.com/images/I/81y93o7IKdL._SY522_.jpg,Vintage; 1er édition (5 mars 2020),Caroline Criado Perez
Il vaso di Pandoro. Ascesa e caduta dei Ferragnez,10.15,"Il 15 dicembre del 2023 Chiara Ferragni, fashion blogger e imprenditrice digitale di fama internazionale all’apice del suo successo, viene multata dall’Antitrust per pratica commerciale scorretta. L’accusa è quella di aver spacciato un’operazione commerciale per un’iniziativa benefica destinata alle cure di bambini malati di tumore. La caduta dalla vetta è disastrosa e provoca la crisi di un impero che pareva scintillante e solidissimo: quello dei Ferragnez. In un attimo, la coppia da 45 milioni di like idolatrata da stampa e follower, non esiste più. Eppure, i segnali di un’imminente caduta c’erano già. Dalla sovraesposizione dei minori alla compulsiva ostentazione del privilegio, dall’attivismo ruffiano alla beneficenza opaca, nel suo libro Selvaggia Lucarelli ripercorre all’indietro la storia recente del fenomeno mediatico più discusso del Paese. Il vaso di Pandoro è una nuova inchiesta e la storia dell’inchiesta che ha cambiato per sempre il mondo degli influencer, imponendo più di una riflessione su come sia pericoloso, oggi, maneggiare un successo così incorporeo da svanire in un click. Fino ad un’angosciante conclusione: quel vaso di Pandoro, che sia sigillato o rovinosamente aperto, riguarda tutti noi.",979-1255430483,https://m.media-amazon.com/images/I/714PO3-KpdL._SY522_.jpg,PaperFIRST (14 mai 2024),Selvaggia Lucarelli
Agenda Prions en Eglise septembre 2024-2025: L'évangile au coeur de votre journée,12.0,"S'appuyant sur la qualité de Quo Vadis, fabricant numéro un  dans le monde, Prions en Église vous propose un agenda utile à votre vie de prière et vos responsabilités en Église.
Vous y trouverez : une double page par semaine pour organiser vos journées, une citation de l'Évangile pour être à l'écoute de la parole de Dieu chaque jour, les saints de la liturgie, et toutes les fêtes à souhaiter.
En fin d'agenda, retrouvez un répertoire pour noter les coordonnées de tous vos contacts, des cartes, un planning annuel, les fêtes religieuses et le calendrier liturgique de l'année, avec : les  références des textes liturgiques, les fêtes, mémoires et solennités, et les couleurs liturgiques,  les intentions de prière du pape.

l'Agenda universitaire Prions en Eglise est réputé et se diffuse à plus de 10.000 ex chaque année.",979-1029617393,https://m.media-amazon.com/images/I/31P4WhhtuDL.jpg,Bayard Presse (22 mai 2024),Collectif
Je reviens de loin,21.0,"L'animateur très aimé de La Carte aux Trésors et de Faut pas rêver a traversé l'épreuve d'une dépression finalement diagnostiquée comme bipolaire aigue.
Une confession intime et bouleversante :
Derrière le sourire enthousiaste de Sylvain Augier, tant aimé de millions de français, animateur de La Carte aux trésors, Faut pas rêver et La France vue du ciel, il y avait un secret bien caché : la bipolarité. Cette maladie psychique qui entraîne exaltation et dépression parfois jusqu'au suicide.
Dans son récit s'entremêlent succès et désespoir. La famille y apparait porteuse de joies et de souffrances. C'est un formidable message d'espoir : on peut revenir de loin.

Préface de Boris Cyrulnik.",978-2753304734,https://m.media-amazon.com/images/I/61uhG9nRB3L._SY522_.jpg,Telemaque (12 octobre 2023),Sylvain Augier
History of Press Graphics. 1819–1921,10.33,"Dans notre monde actuel fait d’images instantanées, d’infos 24h sur 24 et de connectivité permanente, la presse illustrée où les images comptent autant que le texte se fait de plus en plus rare. Ce remarquable recueil célèbre l’âge d’or du journalisme graphique en tant que genre unique, qui fut aussi un laboratoire de l’esthétique d’avant-garde.

La collection couvre la période de 1819 à 1921 et les nombreuses applications du graphisme à l’information, au dessin politique et satirique. Les œuvres d’artistes connus comme Jean Cocteau, Juan Gris et Käthe Kollwitz côtoient celles des maîtres de l’illustration Thomas Nast, Honoré Daumier, Gustave Doré et de nombreux graphistes de presse peu connus, ces fameux «artistes spécialisés» dont cet ouvrage veut faire",978-3836507868,https://m.media-amazon.com/images/I/91vP9wuq39L._SY522_.jpg,EVERGREEN; Multilingual édition (28 avril 2023),Alexander Roob
History of Press Graphics. 1819–1921,19.81,"Dans notre monde actuel fait d’images instantanées, d’infos 24h sur 24 et de connectivité permanente, la presse illustrée où les images comptent autant que le texte se fait de plus en plus rare. Ce remarquable recueil célèbre l’âge d’or du journalisme graphique en tant que genre unique, qui fut aussi un laboratoire de l’esthétique d’avant-garde.

La collection couvre la période de 1819 à 1921 et les nombreuses applications du graphisme à l’information, au dessin politique et satirique. Les œuvres d’artistes connus comme Jean Cocteau, Juan Gris et Käthe Kollwitz côtoient celles des maîtres de l’illustration Thomas Nast, Honoré Daumier, Gustave Doré et de nombreux graphistes de presse peu connus, ces fameux «artistes spécialisés» dont cet ouvrage veut faire",978-3836507868,https://m.media-amazon.com/images/I/91vP9wuq39L._SY522_.jpg,EVERGREEN; Multilingual édition (28 avril 2023),Alexander Roob
,17.38,,,,,
"Friends, mes amours et cette chose terrible",8.6,"""Salut, je m'appelle Matthew, mais vous me connaissez peut-être sous un autre nom. Mes amis m'appellent Matty. Et je devrais être mort."" Ainsi commence le captivant récit du célèbre Matthew Perry, acteur qui incarna le légendaire Chandler de Friends. Au fil de ses souvenirs, il évoque ses ambitions de jeunesse et son rapport à la célébrité, ses addictions et sa guérison après un grave problème de santé qui lui fit frôler la mort. Mais avant les cures de désintoxication et les séjours à l'hôpital, il y a le Matthew de 5 ans qui voyagea de Montréal à Los Angeles, ballotté entre des parents séparés ; celui de 14 ans, star du tennis au Canada ; celui de 24 ans qui décrocha le rôle le plus convoité des États-Unis pour le pilote d'une série appelée à l'époque Friends Like Us... Il revient sur l'aventure que fut Friends, nous livrant des anecdotes sur ses camarades de tournage et d'autres stars croisées sur la route. Avec l'humour et l'honnêteté qu'on lui connaît, Matthew Perry se met à nu et nous offre des Mémoires inoubliables.",978-2290390832,https://m.media-amazon.com/images/I/61LfK9cYLOL._SY522_.jpg,J'AI LU (8 novembre 2023),Matthew Perry
De la guerre. Mook n°1: Hitler a-t-il eu une chance de l'emporter ?,7.72,"De la guerre : le premier Mook d'histoire militaire
Le meilleur de Perrin et de Guerres & Histoire
Du magazine, le Mook hérite de la variété des sujets et de leur traitement. De la guerre propose ainsi de voyager à travers les conflits de l'Antiquité à nos jours, de s'intéresser à la théorie, aux bataille, aux uniformes, aux armes, aux grands chefs, aux combattants, à l'action psychologique. De la guerre fait flèche de tout bois : interviews croisés, interviews posthumes, archives sonores, infographie, cartographie, photographie, illustrations d'époque.
Du livre, le mook reçoit la clarté de la mise en page, le temps de la lecture longue, la qualité de l'écriture, la profondeur de la réflexion, la fréquentation des meilleurs historiens. De la guerre ne se jette pas après lecture : c'est un vrai livre qui se conserve, auquel s'ajouteront, deux fois par an, d'autres encore, qui feront collection.

En 168 pages,",978-2262094409,https://m.media-amazon.com/images/I/61YbeZR5ZYS._SY522_.jpg,Perrin (3 juin 2021),Jean Lopez
Oxford Dictionary of English,9.03,"The Oxford Dictionary of English offers authoritative and in-depth coverage of over 350,000 words, phrases, and meanings. The foremost single-volume authority on the English language. Published On: 2010-09-15",978-0199571123,https://m.media-amazon.com/images/I/6122R00-UBL._SY522_.jpg,Oxford University Press; 3e édition (5 août 2010),Varios Autores
