Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
I Can't Believe I Slept With You! - Tome 1,16.86,"Vous voulez bien coucher avec moi ?

Chiyo, une locataire de 24 ans, sans emploi et avec plusieurs mois de loyers impayés, reçoit un jour une proposition incongrue de sa propriétaire, une fille sérieuse et responsable de 19 ans. « À la place du loyer, j'aimerais que tu couches avec moi. » Quelle direction va bien pouvoir prendre la relation des deux jeunes femmes après un début pareil ?!

À la place du loyer, ma proprio m'a proposé de la payer avec mon corps.

Prix d’or du 26e Dengeki Comic Awards et nommé aux Next Manga Awards (2020)

Tomber amoureuse n’était pas une clause du contrat !",978-2385034016,https://m.media-amazon.com/images/I/812xbSfT46L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (22 février 2024),Miyako Miyahara
Notre été éphémère - Tome 03,18.46,"Shizuku se prépare à faire face à Kaori. Les mots sincères de celle-ci la touchent en plein coeur, et Shizuku accepte de redonner une chance à leur relation estivale éphémère.

Mais alors que les doutes de Shizuku semblent commencer à se dissiper, il semble que Kaori cache quelque chose...",978-2385034184,https://m.media-amazon.com/images/I/712hGfm-o0L._SY522_.jpg,Meian; Yuri édition (22 février 2024),Yuama
Tadokoro-san - Tome 03,14.1,"Je veux dessiner une héroïne inspirée de Sakurako !

La discrète Tadokoro a décidé de se lancer à fond dans la création de mangas. Trouvera-t-elle enfin son style ? En tout cas, sa petite amie, Nikaïdô, la soutient à 100 % ! Pour couronner le tout, elle fait de nouvelles rencontres. L'une est une alliée, l'autre une rivale !",978-2385032050,https://m.media-amazon.com/images/I/81yuQsqK0mL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (20 mars 2024),Tatsubon
Notre été éphémère - Tome 04,11.5,"Kaori s'est effondrée sous les yeux de Shizuku,
alors que celle-ci venait enfin de faire face à Ruri.

Inquiète pour Kaori, Shizuku se rend à l'hôpital pour
la voir et découvre la maladie qu'elle lui cachait.

Kaori, alitée, essaie de rassurer tant bien que mal son amie, avant de suggérer de mettre fin à leur romance factice.",978-2385034191,https://m.media-amazon.com/images/I/71HwgSX5WwL._SY522_.jpg,Meian; Yuri édition (22 février 2024),Yuama
Notre été éphémère - Tome 05,11.83,"Shizuku promet à Kaori d'écrire un roman à propos de leur histoire, afin que cette dernière ne cherche plus à s'éloigner d'elle. Leur relation évolue doucement au fur et à mesure de leurs rencontres à l'hôpital. Mais Shiori, la petite soeur de Kaori, réserve un accueil des plus glacials à l'amie de sa grande soeur.",978-2385034207,https://m.media-amazon.com/images/I/71LEOsP7wJL._SY522_.jpg,Meian; Yuri édition (22 février 2024),Yuama
Citrus T10,18.6,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l'amour et va jusqu'à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n'est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle à se faire à sa nouvelle vie ? Arrivera-t-elle à s'entendre avec sa demi-soeur ?",978-2375061541,https://m.media-amazon.com/images/I/71pK19NSVeL._SY522_.jpg,TAIFU COMICS; Illustrated édition (22 novembre 2019),SABUROUTA
Anémone flamboyante - Tome 3,6.95,"Place au grand amour...
Exprimer son amour ou le garder secret ?

Nagisa est parvenue à dire “je t'aime” à Mashiro. Sa haine s'est transformée en amour. Toutefois, il s'agit là d'un sentiment complexe et Nagisa a encore beaucoup à apprendre…

Un yuri profond, dans lequel certaines expriment leur amour tandis que d'autres cherchent à le garder secret.",978-2385031237,https://m.media-amazon.com/images/I/81hKtvIXq2L._SY522_.jpg,Meian; Meian (Collection yuri) édition (21 février 2024),Ren Sakuragi
Citrus T09,6.04,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l amour et va jusqu à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle à se faire à sa nouvelle vie ? Arrivera-t-elle à s entendre avec sa demi-soeur ?",978-2375061268,https://m.media-amazon.com/images/I/71cX-Jf4-eL._SY522_.jpg,TAIFU COMICS; Illustrated édition (23 mai 2019),SABUROUTA
Kase-san T05 (& les cerisiers),14.7,"Chargée comme d'habitude de l'entretien des fleurs du lycée, Yamada fait un jour la rencontre de la grande et athlétique Kase, de la classe d'à-côté. Plus rapide que les garçons, plus charmante que les garçons, Kase est pour Yamada bien plus qu'une fille qu'elle aimerait être : elle est celle avec qui elle aimerait être. Mais elle ignore que son affection n'est pas à sens unique, et que Kase admire le sérieux et la féminité de la pourtant discrète Yamada. Les deux filles se rapprochent l'une de l'autre, et rapidement bourgeonne entre elles un sentiment bien particulier",978-2375061985,https://m.media-amazon.com/images/I/61n33oNibqL._SY522_.jpg,TAIFU COMICS; Illustrated édition (26 juin 2020),Hiromi TAKASHIMA
Citrus + T02,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l'amour et va jusqu'à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n'est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Découvrez ce qui se passe à la fin du tome 10 de Citrus, et tout ce qui a mené Yuzu et Mei à la conclusion attendue de leur relation !",978-2375062494,https://m.media-amazon.com/images/I/71UEBAtgLuL._SY522_.jpg,TAIFU COMICS; Illustrated édition (27 août 2021),SABUROUTA
Citrus + T01,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l'amour et va jusqu'à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n'est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Découvrez ce qui se passe à la fin du tome 10 de Citrus, et tout ce qui a mené Yuzu et Mei à la conclusion attendue de leur relation !",978-2375061725,https://m.media-amazon.com/images/I/71AxYZ3SsrL._SY522_.jpg,TAIFU COMICS; Illustrated édition (22 novembre 2019),SABUROUTA
Notre été éphémère - Tome 2,18.81,"« J'ai bizuté mon amie »

Ne supportant plus les douces attentions de Kaori qu'elle estime ne pas mériter, Shizuku révèle ce passé si douloureux pour elle.

Mais elle est stupéfaite par la réponse de son amie, qui lui révèle qu'elle était déjà au courant de tout cela.
Terrifiée et confuse, Shizuku s'enfuit, mais comprend enfin qu'elle ne peut plus fuir son passé...",978-2385034177,https://m.media-amazon.com/images/I/81bLJ-dXs-L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (30 novembre 2023),Yuama
Citrus T08,12.22,"Yuzu est une jeune fashionista énergique et enthousiaste qui compte continuer à vivre pleinement sa vie de lycéenne. Seule ombre au tableau, elle n'est encore jamais tombée amoureuse. À cause du remariage de ses parents, elle se voit obligée d'intégrer un lycée très strict pour jeunes filles. Comment va-t-elle trouver un copain maintenant ? Alors qu'elle entame son premier jour de cours, pleine de frustration, elle fait la connaissance de Mei qui n'est autre que la présidente du conseil des élèves. Après s'être disputé avec cette dernière, elle la surprend en train d'embrasser un professeur. Une surprise qui ne sera pas la dernière de cette terrible journée... car en rentrant, elle apprend que Mei est... sa nouvelle soeur !",978-2375061176,https://m.media-amazon.com/images/I/71HR3ofeOEL._SY522_.jpg,TAIFU COMICS; Illustrated édition (21 février 2019),SABUROUTA
Entre nos mains - Tome 3,13.66,"Dans Entre nos mains, découvrez le destin de deux femmes qui se retrouvent, dix ans après s'être aimées au lycée. Entre pression sociale, peur de l'engagement et survie, Battan croque une histoire criante de vérité.
Le voyage de Midori et Makimura touche à sa fin... Il est temps pour les deux femmes de retourner à leur quotidien respectif. Mais ce qui les attend est loin de les réjouir. Aussi, se laissant aller, elles décident de ne pas rentrer chez elles et de s'enfuir loin de tous ceux qui les connaissent. Pendant ce temps, Tazune comprend la nature de la relation qui unit son épouse et son "" amie "". Comment réagira-t-il ?",978-2382122891,https://m.media-amazon.com/images/I/61vGJmEuuML._SY522_.jpg,Akata; Illustrated édition (24 août 2023),Battan
