Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Entre les lignes - Tome 10,7.7,"La deuxième année de lycée d'Asa touche à sa fin... Elle doit commencer à réfléchir à l'université qu'elle souhaite intégrer à la fin de ses études. À l'approche de leur dernière année de lycées, chacune se demande comment leurs relations avec les autres vont évoluer avec le temps...",978-2505125723,https://m.media-amazon.com/images/I/71bKOGnV16L._SY522_.jpg,KANA (7 juin 2024),Tomoko Yamashita
Karneval T19 (19),7.95,"Un gamin errant, un voleur... et à leurs trousses l'organisation d'espions la plus dangereuse du pays !
Circus est enfin sur une nouvelle piste, et c'est à Rabelganz, un pays où Kafka n'a pourtant jamais
manifesté le moindre signe d'activité, que les indices semblent mener... L'enquête, effectuée conjointement par Hirato et par le Dr Akari, est l'occasion idéale pour Gareki de montrer ses capacités sur le terrain !

Mais au cours du voyage, de curieux événements surviennent à bord du deuxième vaisseau : Nai est assailli par d'étranges visions, tandis que Yogi laisse soudainement sa seconde personnalité refaire surface...",979-1032702123,https://m.media-amazon.com/images/I/71zOPj7EA1L._SY522_.jpg,Ki-oon; Illustrated édition (20 septembre 2018),Touya Mikanagi
Anna et le prince d'Albion T01,12.44,"Anna, seconde fille de la famille de nobles Harmich, en a assez des coutumes qui veulent qu'une femme n'ait d'autres objectifs que de flatter les grands seigneurs... Obsédée par l'art de la guerre, elle rêve de combattre aux côtés de son père, l'un des plus grands guerriers de l'empire. Malheureusement, son père vient à mourir lors d'un récent conflit avec le pays voisin d'Albion et elle se voit offerte en tribut à ce dernier. Anna n'a d'autre choix que de se rendre à Albion, mais elle n'est cependant pas décidée à garder sa lame dans sa poche",978-2380600704,https://m.media-amazon.com/images/I/71KjRw+7GiL._SY522_.jpg,Naban Editions; Illustrated édition (5 avril 2024),An Ogura
La Concubine rebelle - Chroniques du pays radieux - Tome 1 (VF),6.99,"Entre ruses et secrets, laissez-vous embarquer par les intrigues de La Concubine rebelle, une série de fantasy asiatique mettant en scène une héroïne au caractère bien trempé qui est contrainte de trouver sa place dans un palais hostile.
Afin d'assurer la paix sur ses steppes natales, Sarannah doit quitter son clan pour épouser l'empereur du Pays radieux et rejoindre le palais intérieur, au cœur de la cité impériale. Hélas, venant d'une contrée étrangère, la jeune femme a du mal à se faire accepter par les autres concubines... Heureusement, grâce à sa perspicacité et à sa détermination, elle pourrait bien réussir à déjouer les pires manigances et à se rendre indispensable au sein de la demeure royale !",978-2382126394,https://m.media-amazon.com/images/I/71zQwnljPUL._SY522_.jpg,Akata; Illustrated édition (21 mars 2024),Hiromi Ebira
365 Days to the Wedding T02,14.21,"Mariés ou mutés !
Un faux mariage : la solution idéale pour ne rien changer à leurs vies de célibataires.

Alors que Takuya et Rika ont mis leur plan à exécution, des sentiments amoureux semblent naître entre eux. Cependant, leur manque d'expérience dans ce domaine les empêche d'y croire. Ce n'est qu'un faux mariage, après tout ! Pour ne rien faciliter, l'un des plus grands obstacles au mariage se dresse devant eux : la famille !

Le garçon à lunettes qui adore son chat et la jeune fille passionnée par les cartes parviendront-ils à surmonter cette nouvelle épreuve ?

Série terminée en 11 tomes",979-1035505141,https://m.media-amazon.com/images/I/71orAsOAjML._SY522_.jpg,Mana Books; Illustrated édition (18 avril 2024),Tamiki Wakaki
Vies d'ensemble - Au-delà des mots: Tome 1,16.47,"Amis, amants, famille... A-t-on besoin de se mettre une étiquette pour aimer vivre avec quelqu'un ? Takeda est professeur de japonais et Arita est fleuriste. Camarades de classe au lycée, ils ne s'étaient plus revus depuis la fin de leurs études. Mais un jour de pluie, leur relation évolue lorsqu'ils viennent en aide à un chat. Ils n'ont pas de sentiments amoureux l'un pour l'autre, ni même de raison particulière de vivre ensemble. Pourtant, c'est lorsqu'ils sont aux côtés l'un de l'autre qu'ils se sentent le plus à l'aise. Ils ont une relation différente des couples, des amis ou encore d'une famille. Mais ils apprécient passer du temps ensemble. Un doux récit introspectif sur les relations entres les individus !",978-2380600834,https://m.media-amazon.com/images/I/71dv6ZHPgxL._SY522_.jpg,Naban Editions; Illustrated édition (19 avril 2024),Fumiya Hayashi
JK Haru: Sex Worker in Another World - Tome 5,9.74,"Cet endroit aussi était un autre monde pour elle.

Après un accident de la route, Haru, jeune lycéenne, s'est retrouvée dans un autre monde où elle est contrainte à travailler comme prostituée. Après de nombreuses aventures, elle décide de prendre la place de son aînée, Sikraso, partie en mission dans une caserne militaire.

Découvrez le cinquième tome de ce manga qui a fait le buzz sur le net !",978-2385033644,https://m.media-amazon.com/images/I/81Lg9CKBcML._SY522_.jpg,Meian; Meian (Collection Daitan!) édition (21 juillet 2023),Ko Hiratori
Qu'est-ce qui cloche avec la secrétaire Kim ? T04,7.76,"Lee Young Joon est l'héritier d'une entreprise prestigieuse qu'il tient d'une main de fer. Il considère qu'il est l'incarnation de la perfection. Alors quand sa secrétaire, Kim Miso, lui annonce qu'elle veut démissionner pour trouver un petit ami, c'est la douche froide ! Qu'est-ce qui lui prend ? Pour la garder auprès de lui il est prêt à tout...",978-2382880487,https://m.media-amazon.com/images/I/71TMI6N+8hL._SY522_.jpg,Kbooks; Illustrated édition (6 avril 2022),Gyeong Yun Jeong
Professional Desire T06,7.29,"Rin est une chargée d'édition prenant son travail très à coeur. Seule ombre au tableau : elle ne peut pas encadrer Satoshi, son collègue adulé par tous ! Un jour, poussée par une conscience professionnelle aigue, Rin lui tend des esquisses de scènes très osées et exige qu'il les joue avec elle. Pris dans une guerre d'ego, les deux collègues vont tomber dans une spirale de rencontres secrètes, torrides et un brin sadiques...",978-2302098046,https://m.media-amazon.com/images/I/819qjflWzML._SY522_.jpg,Soleil; Illustrated édition (7 février 2024),Ai Hibiki
Wolf & Parchment T01,10.01,,978-2377173921,https://m.media-amazon.com/images/I/71RCsvUTmDL._SY522_.jpg,OTOTO; Illustrated édition (24 mars 2023),Isuna HASEKURA
